"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,4193360908.9568,4988301126.86756,8827099236.96553,10447601189.0482,10791367835.4354,11807269497.5517,12133610156.2396
4,4611738807.63704,6143267512.97181,9321232694.04001,11441456168.1505,11611576009.2817,12479093475.1624,12724960340.7207
6,4679575473.60603,6585530959.11647,9466778971.40739,11492791934.5269,11527018923.7714,11728568821.4023,12529145461.4103
8,4690641199.15371,9211310407.73575,9529847052.5642,11396795126.6607,11641475919.6746,12040510450.7934,12540701743.4652
10,4669836215.76161,7024155236.31749,9552521607.9019,11304150877.5825,11602361815.0739,11967807294.3368,12532365876.502
12,4641926081.38557,7155660256.07474,9555356289.26164,11218796749.1508,11606963521.6431,12025876788.0168,12516646307.7417
14,4619981903.18339,7260311323.67781,9554099031.85171,11150402503.826,11608967526.9013,12071782925.2715,12503411294.713
16,4616824235.07908,7381491908.88924,9576475011.98565,11108708961.0979,11636408280.8894,12137355088.8611,12512244964.2309
18,4589779707.53397,9059882785.59284,10269482182.6595,11564009096.2218,11918625445.5168,12404890129.1124,12731828672.4174
20,4564740525.88799,7515875381.51375,9554287362.81798,11065603646.7399,12229686962.2235,12254228484.7818,12493041312.6667
