El,r,dHdphiext_over_Delta_sqr,d2E01dphi2_Hz,dHdr_over_Delta_sqr,f01_derivative_Hz
10000000.0,0.01,2.434001825704106e-10,628194.1625260813,7.552655932719515e-27,73118351.77565417
10000000.0,0.03,3.2678213553637067e-09,259746.6363120324,0.0,199667689.64387375
10000000.0,0.05,1.768673232259703e-08,46911.99543549842,0.0,478277698.28258365
10000000.0,0.06999999999999999,7.518744364524571e-08,50605.76532304901,0.0,981623336.0668688
10000000.0,0.09,2.637071006506036e-07,109883.63531446947,0.0,1810748458.1578054
10000000.0,0.11,7.419165159190498e-07,156663.06387517866,0.0,2910135919.5032873
10000000.0,0.13,1.6370984424907396e-06,190624.8023829509,0.0,3999319786.3263144
10000000.0,0.15000000000000002,2.8914568875848718e-06,209570.04163683072,0.0,4760376782.281069
10000000.0,0.17,4.315339090368125e-06,216587.445170609,0.0,5096565951.722557
10000000.0,0.19,5.750078408228627e-06,216998.91631136235,0.0,5107315058.074315
10000000.0,0.21000000000000002,7.116740505255841e-06,214231.76637629876,0.0,4928416241.417725
10000000.0,0.23,8.388059219000409e-06,209867.7576202707,0.0,4658238320.900897
10000000.0,0.25,9.559884375925198e-06,204486.92803530348,0.0,4354394413.363377
10000000.0,0.27,1.063672873959034e-05,198458.86574578035,0.0,4047220937.818336
10000000.0,0.29000000000000004,1.1625839971641012e-05,191736.68340309378,0.0,3751536896.653759
10000000.0,0.31,1.253495148744303e-05,184549.38819727948,0.0,3473819528.0753765
10000000.0,0.33,1.3371433167739462e-05,176820.2732518776,0.0,3216140436.4006367
10000000.0,0.35000000000000003,1.4141992708944589e-05,168642.45454060665,0.0,2978409346.3838396
10000000.0,0.37,1.4852634005974495e-05,160162.1441005431,0.0,2759568057.5747986
10000000.0,0.39,1.5508700066083067e-05,151488.88420812858,0.0,2558125537.3794737
10000000.0,0.41000000000000003,1.611491413227656e-05,142705.04233763393,0.0,2372464175.8708544
10000000.0,0.43,1.6675444118257346e-05,133952.1801348814,0.0,2201028090.1769247
10000000.0,0.45,1.7193990572717e-05,125189.63862940208,0.0,2042379016.2485232
10000000.0,0.47000000000000003,1.7673842888501937e-05,116478.94947799211,0.0,1895207168.922599
10000000.0,0.49,1.811791866398211e-05,107939.72015380858,0.0,1758345997.7924943
10000000.0,0.51,1.8528824701277005e-05,99708.87665896071,0.0,1630782189.0821178
10000000.0,0.53,1.8908905090410455e-05,91815.26026774927,0.0,1511632214.134832
10000000.0,0.55,1.9260267570407368e-05,84253.85190039565,0.0,1400119807.7375784
10000000.0,0.5700000000000001,1.9584821291288014e-05,77049.1619700009,0.0,1295599465.5652924
10000000.0,0.59,1.9884308216435096e-05,70142.06758479483,0.0,1197509129.0254648
10000000.0,0.61,2.016032242919158e-05,63708.688794952075,0.0,1105333823.284342
10000000.0,0.63,2.041433608764336e-05,57802.303550169636,0.0,1018709645.6971928
10000000.0,0.65,2.064771173948764e-05,52081.99786156722,0.0,937289342.4655665
10000000.0,0.67,2.086171662308638e-05,46833.51025138935,0.0,860596238.3073039
10000000.0,0.6900000000000001,2.1057542938312953e-05,42044.05951745731,0.0,788414261.1930306
10000000.0,0.7100000000000001,2.1236284424672916e-05,37501.384302512895,0.0,720632980.3099662
10000000.0,0.73,2.139894254279953e-05,33247.603583581666,0.0,656578237.095215
10000000.0,0.75,2.154647790493082e-05,29221.323347583257,0.0,595796388.1407712
10000000.0,0.77,2.16797473140401e-05,25755.744619467823,0.0,538526169.4198182
10000000.0,0.79,2.1799455446332238e-05,22098.339710038963,0.0,484105024.4469441
10000000.0,0.81,2.190627598647817e-05,18522.321563406083,0.0,431432775.7086053
10000000.0,0.8300000000000001,2.200083081587523e-05,15572.223466696198,0.0,380904789.8178222
10000000.0,0.85,2.2083545314465192e-05,12719.046209276336,0.0,332527506.4475311
10000000.0,0.87,2.2154776841556426e-05,9701.04060222193,0.0,284815941.38306254
10000000.0,0.89,2.2214932645504802e-05,7278.992957675579,0.0,237834258.0367349
10000000.0,0.91,2.2264314458114457e-05,5141.636759964461,0.0,192536518.5468705
10000000.0,0.93,2.230313991555699e-05,3081.5085184942814,0.0,147957361.85470438
10000000.0,0.9500000000000001,2.2331718896568316e-05,1629.3574854270696,0.0,103785711.33905594
10000000.0,0.97,2.2350408815991637e-05,614.9724586722778,0.0,61131917.886633456
10000000.0,0.99,2.235955759961631e-05,130.78119336944263,0.0,20388522.602902472
11898416.954165636,0.01,7.677106557218583e-10,1071430.0440758774,1.8696269451673367e-28,110564283.47449729
11898416.954165636,0.03,9.763695005383655e-09,75699.41417458134,4.222111644179147e-26,315527648.4893658
11898416.954165636,0.05,4.8065050484502704e-08,371270.1711458029,0.0,715498632.5413268
11898416.954165636,0.06999999999999999,1.8086994504152014e-07,568105.3400039673,0.0,1377234267.3158648
11898416.954165636,0.09,5.524059469708049e-07,694330.7660289647,0.0,2353064338.3833838
11898416.954165636,0.11,1.3526813250308992e-06,782537.73561458,0.0,3499178101.0515127
11898416.954165636,0.13,2.654480295393268e-06,827223.9277043291,0.0,4513877666.475306
11898416.954165636,0.15000000000000002,4.3160162179475755e-06,830930.6336432389,0.0,5160824913.504228
11898416.954165636,0.17,6.115641354645182e-06,811030.815557106,0.0,5417675045.407631
11898416.954165636,0.19,7.89718404725631e-06,780917.0963837929,0.0,5392103957.776117
11898416.954165636,0.21000000000000002,9.587513869624646e-06,747212.5574485541,0.0,5201154774.895992
11898416.954165636,0.23,1.116234962074559e-05,712931.1389529827,0.0,4927731102.070553
11898416.954165636,0.25,1.2619089328621257e-05,678765.9679491493,0.0,4621666721.734856
11898416.954165636,0.27,1.3963374679365284e-05,644973.4255210641,0.0,4310417011.291863
11898416.954165636,0.29000000000000004,1.5203452758494499e-05,611543.88889824,0.0,4008166296.8965693
11898416.954165636,0.31,1.634798413702659e-05,578629.1151931604,0.0,3721701373.3555408
11898416.954165636,0.33,1.7405224243937452e-05,546121.9659785636,0.0,3453706686.125906
11898416.954165636,0.35000000000000003,1.8382728973370286e-05,514282.5903351775,0.0,3204637949.8120227
11898416.954165636,0.37,1.9287295355968717e-05,483113.4879711977,0.0,2973890403.6519403
11898416.954165636,0.39,2.012501444182984e-05,452839.01568540605,0.0,2760381892.507622
11898416.954165636,0.41000000000000003,2.090133220983249e-05,423401.4294811131,0.0,2562771971.9739046
11898416.954165636,0.43,2.162109336148658e-05,394880.098165925,0.0,2379663410.017111
11898416.954165636,0.45,2.2288617773444072e-05,367410.05022501206,0.0,2209766382.216255
11898416.954165636,0.47000000000000003,2.290779377056781e-05,340883.00921253324,0.0,2051888064.724747
11898416.954165636,0.49,2.3482117177438105e-05,315537.60017316364,0.0,1904892140.1745322
11898416.954165636,0.51,2.4014709038759533e-05,291429.5393167083,0.0,1767755721.1692688
11898416.954165636,0.53,2.4508386088836777e-05,268355.2515875432,0.0,1639605843.8337226
11898416.954165636,0.55,2.4965725552978733e-05,246488.3155429486,0.0,1519655849.6631112
11898416.954165636,0.5700000000000001,2.5389057974205145e-05,225754.16761575284,0.0,1407154923.0890436
11898416.954165636,0.59,2.578047629902429e-05,206052.30823005593,0.0,1301447224.4730952
11898416.954165636,0.61,2.614190746534965e-05,187531.1763016219,0.0,1202013722.276305
11898416.954165636,0.63,2.6475137894674367e-05,169975.11362292102,0.0,1108353946.02823
11898416.954165636,0.65,2.6781782670239443e-05,153460.4436343478,0.0,1019928106.2355098
11898416.954165636,0.67,2.7063313793671973e-05,137847.10893925934,0.0,936338157.9127058
11898416.954165636,0.6900000000000001,2.7321115686887104e-05,123311.42130586288,0.0,857331131.0161552
11898416.954165636,0.7100000000000001,2.7556471074176752e-05,109440.85268630195,0.0,782502465.5650501
11898416.954165636,0.73,2.7770548639846997e-05,96311.02847069809,0.0,711398591.2911991
11898416.954165636,0.75,2.7964442956400155e-05,84143.25025892748,0.0,643887205.8100992
11898416.954165636,0.77,2.8139179169901717e-05,72657.77194622865,0.0,579831071.5464722
11898416.954165636,0.79,2.8295697149348093e-05,61696.583462744646,0.0,518706085.2731821
11898416.954165636,0.81,2.843487981359644e-05,51496.274692496074,0.0,460201789.1022062
11898416.954165636,0.8300000000000001,2.8557548640024238e-05,42192.52301245621,0.0,404436908.36643755
11898416.954165636,0.85,2.8664431473744356e-05,33580.85868284874,0.0,351075460.21136004
11898416.954165636,0.87,2.875620520638983e-05,25633.49733647611,0.0,299477050.70315456
11898416.954165636,0.89,2.8833512510835125e-05,18800.715810244845,0.0,249691311.70765606
11898416.954165636,0.91,2.8896890869884806e-05,12883.795905359011,0.0,201799896.05676544
11898416.954165636,0.93,2.8946799148327117e-05,7930.480327802832,0.0,155120605.94916937
11898416.954165636,0.9500000000000001,2.898369373299235e-05,4014.423213054224,0.0,109403452.59452383
11898416.954165636,0.97,2.900797061180397e-05,1592.8179947371334,0.0,64909693.77729683
11898416.954165636,0.99,2.901994754764123e-05,148.49790592783506,0.0,21658162.228159487
14157232.601517623,0.01,2.9710590907378527e-09,2095807.4491048593,0.0,184255492.73943704
14157232.601517623,0.03,3.4034826415905834e-08,288939.86067821085,0.0,548000199.9911914
14157232.601517623,0.05,1.4206176064020253e-07,1157369.145413035,0.0,1129570197.6295924
14157232.601517623,0.06999999999999999,4.448163378318318e-07,1392502.1690191685,0.0,1970068208.7424743
14157232.601517623,0.09,1.136471701680534e-06,1418184.823596601,0.0,3048689115.762955
14157232.601517623,0.11,2.3845780766407577e-06,1359121.1235400327,0.0,4162182414.8790817
14157232.601517623,0.13,4.167436036494598e-06,1260525.8509055856,0.0,5048372971.856471
14157232.601517623,0.15000000000000002,6.279906878437234e-06,1149939.2543871377,0.0,5566919923.236898
14157232.601517623,0.17,8.497646067437755e-06,1042533.7466996971,0.0,5744107503.843696
14157232.601517623,0.19,1.067690656542097e-05,945089.4262372832,0.0,5681014425.582013
14157232.601517623,0.21000000000000002,1.275031497246916e-05,858133.2472181808,0.0,5475007545.628927
14157232.601517623,0.23,1.4694126502983007e-05,780803.5771871349,0.0,5195103091.794506
14157232.601517623,0.25,1.6504707018522602e-05,710775.3950295988,0.0,4884092301.275308
14157232.601517623,0.27,1.818667901366546e-05,647823.3828987043,0.0,4566751660.398153
14157232.601517623,0.29000000000000004,1.9747720785750146e-05,590641.6411252365,0.0,4256727178.0182824
14157232.601517623,0.31,2.1196349084558838e-05,538643.2470734586,0.0,3960943311.8219047
14157232.601517623,0.33,2.2540951609283734e-05,491069.01945527067,0.0,3682421176.2435436
14157232.601517623,0.35000000000000003,2.3789423408100033e-05,447749.951451095,0.0,3422112705.069648
14157232.601517623,0.37,2.494908237251471e-05,408148.1756623259,0.0,3179852999.0951715
14157232.601517623,0.39,2.6026636734839775e-05,371839.2013274517,0.0,2954792311.9907646
14157232.601517623,0.41000000000000003,2.7028168738203304e-05,338620.0924509579,0.0,2745763444.194559
14157232.601517623,0.43,2.795919021222415e-05,308366.76568100124,0.0,2551573380.963765
14157232.601517623,0.45,2.8824724056478047e-05,280582.9539741437,0.0,2371047075.3797607
14157232.601517623,0.47000000000000003,2.9629335305318383e-05,255003.60469228213,0.0,2202988342.6615653
14157232.601517623,0.49,3.0377149687611828e-05,231645.3874725657,0.0,2046270024.905039
14157232.601517623,0.51,3.107191466260275e-05,210124.14362012723,0.0,1899922480.38083
14157232.601517623,0.53,3.171705974554685e-05,190445.9589535428,0.0,1763061947.3886726
14157232.601517623,0.55,3.231571243989205e-05,172378.71700955418,0.0,1634820202.4803941
14157232.601517623,0.5700000000000001,3.2870712384290855e-05,155864.66641770193,0.0,1514421693.2385817
14157232.601517623,0.59,3.3384656358004207e-05,140504.19306017688,0.0,1401231982.6457765
14157232.601517623,0.61,3.385993555382176e-05,126427.77826368192,0.0,1294659209.0566344
14157232.601517623,0.63,3.429874131998281e-05,113512.46194741162,0.0,1194107493.5206769
14157232.601517623,0.65,3.470307600905132e-05,101512.27479128494,0.0,1099071496.8642
14157232.601517623,0.67,3.5074785940251583e-05,90474.20737669639,0.0,1009154032.9137375
14157232.601517623,0.6900000000000001,3.5415582548466936e-05,80209.33878790471,0.0,923953511.9687063
14157232.601517623,0.7100000000000001,3.572704221037656e-05,70623.27493097362,0.0,843054774.0342592
14157232.601517623,0.73,3.6010617412290025e-05,61816.57928781411,0.0,766137121.6510015
14157232.601517623,0.75,3.6267660534629716e-05,53683.9396683211,0.0,692954691.667825
14157232.601517623,0.77,3.649943123056825e-05,46094.697775300025,0.0,623215927.1539217
14157232.601517623,0.79,3.6707096160501666e-05,38850.941608861554,0.0,556620068.6340458
14157232.601517623,0.81,3.689174239903168e-05,32509.18437525169,0.0,492973993.6092315
