# El	 r	 dHdphi_overDelta_square_elements_list	 d2f01dphi2_abs_list	 dHdr_overDelta_square_matrix_elements_list	 df01dr_abs 
10000000.0	0.01	1.1931098360997995e-09	5086.828625605614	1.268969109459991e-06	139499273.6055966
10000000.0	0.03	4.285516737087399e-09	9442.100776831792	3.2235500140438947e-07	230246464.2837348
10000000.0	0.05	1.875559438437408e-08	11883.018415880026	5.498364615115914e-07	492902695.0576421
10000000.0	0.06999999999999999	7.671669453377556e-08	13552.447193179223	1.6808005094826384e-06	992817433.7812148
10000000.0	0.09	2.6634318278981983e-07	15108.266962437638	5.2022168114320665e-06	1821518542.6135097
10000000.0	0.11	7.457093380297715e-07	16430.20841441813	1.3692148649292564e-05	2919659975.244392
10000000.0	0.13	1.6405456936136665e-06	16910.610410670604	2.8911036724282396e-05	4005650770.192375
10000000.0	0.15000000000000002	2.892514769065161e-06	16243.785369576333	4.923692429043839e-05	4763302184.477535
10000000.0	0.17	4.313090796904442e-06	14772.823074678	7.083833003204508e-05	5097300952.279085
10000000.0	0.19	5.744732082417302e-06	13006.025979599684	9.060957898308814e-05	5106960493.6674795
10000000.0	0.21000000000000002	7.108947817391044e-06	11263.656413471868	0.00010703930800245948	4927530078.8863325
10000000.0	0.23	8.37850289405591e-06	9680.880341313028	0.00011973355769316586	4657062355.557837
10000000.0	0.25	9.549130487032945e-06	8293.269388773084	0.00012883793395574358	4353025747.33643
10000000.0	0.27	1.0625217272896964e-05	7094.636279607162	0.00013470739951830938	4045685080.3337135
10000000.0	0.29000000000000004	1.161391345372185e-05	6065.050426862008	0.00013777816669907544	3749847307.9261923
10000000.0	0.31	1.2522869295881843e-05	5182.135824874632	0.000138489673804381	3472002671.146914
10000000.0	0.33	1.335938531869452e-05	4424.977614927599	0.00013724766405448364	3214217958.2891545
10000000.0	0.35000000000000003	1.4130122686952083e-05	3775.1284417201055	0.0001344232043476233	2976397240.095043
10000000.0	0.37	1.4841051414927761e-05	3216.868268668561	0.00013033697499751138	2757490727.2709827
10000000.0	0.39	1.549748347473111e-05	2737.10440222874	0.00012526356873559602	2556006989.6664777
10000000.0	0.41000000000000003	1.6104119429380363e-05	2324.728063372606	0.00011945161478202094	2370324148.8433094
10000000.0	0.43	1.6665112769687255e-05	1970.2155478410584	0.00011310708321471375	2198889534.3940754
10000000.0	0.45	1.718415114280957e-05	1665.6184338437247	0.00010639334835234686	2040258979.094769
10000000.0	0.47000000000000003	1.7664513529325294e-05	1404.206699833951	9.946111508508252e-05	1893119529.4424834
10000000.0	0.49	1.8109110583501194e-05	1180.0904049601413	9.24381363514416e-05	1756312601.2220433
10000000.0	0.51	1.8520543382933476e-05	988.2241729972607	8.541921931528351e-05	1628816079.5176532
10000000.0	0.53	1.890115234522139e-05	824.2978005868149	7.848854291481053e-05	1509740013.9522307
10000000.0	0.55	1.9253042111132046e-05	684.5365639734165	7.171693002134963e-05	1398317849.4106224
10000000.0	0.5700000000000001	1.9578118708910792e-05	565.6656201615783	6.51572047637523e-05	1293889891.9849849
