# El	 r	 phi_matrix_elements_list	 d2E01dphi2_list
10000000.0	0.01	7.414757017775892e-18	9.30754872907336e-11
10000000.0	0.03	5.533205249351292e-17	1.0126625570589861e-10
10000000.0	0.05	6.989433820382072e-17	2.245249861387131e-10
10000000.0	0.06999999999999999	2.7681076880506287e-17	2.6018672968077784e-10
10000000.0	0.09	4.458064192030934e-15	2.5235013542402337e-10
10000000.0	0.11	6.330033881220509e-14	2.261980159773315e-10
10000000.0	0.13	4.39297620481189e-13	1.9313813037454277e-10
10000000.0	0.15000000000000002	1.8459236187697798e-12	1.5905201487373513e-10
10000000.0	0.17	5.333995319888567e-12	1.2717821049425345e-10
10000000.0	0.19	1.1814663260395094e-11	9.92572241085727e-11
10000000.0	0.21000000000000002	2.1758479516558206e-11	7.602452039753218e-11
10000000.0	0.23	3.52118187715122e-11	5.741165579240411e-11
10000000.0	0.25	5.193699885123319e-11	4.287061877576746e-11
10000000.0	0.27	7.154403596601246e-11	3.1732653416240396e-11
10000000.0	0.29000000000000004	9.358124812832197e-11	2.3351934670125058e-11
10000000.0	0.31	1.1758952626841427e-10	1.711697449049677e-11
10000000.0	0.33	1.4313184768857517e-10	1.2505667100866445e-11
10000000.0	0.35000000000000003	1.6980770915593073e-10	9.125104103421391e-12
10000000.0	0.37	1.9725859997509258e-10	6.667939607868032e-12
10000000.0	0.39	2.2516842730740333e-10	4.8831421757181654e-12
10000000.0	0.41000000000000003	2.532617388048624e-10	3.5884561740000175e-12
10000000.0	0.43	2.8130072971468576e-10	2.6548419939118557e-12
10000000.0	0.45	3.09081302336873e-10	1.980572789633467e-12
10000000.0	0.47000000000000003	3.364294206391125e-10	1.4904744905728425e-12
10000000.0	0.49	3.6319798548814044e-10	1.132955451507367e-12
10000000.0	0.51	3.892633194913892e-10	8.69835071862137e-13
10000000.0	0.53	4.1452199638631823e-10	6.737438530800227e-13
10000000.0	0.55	4.3888852413679977e-10	5.251399772439072e-13
10000000.0	0.5700000000000001	4.622928064575741e-10	4.100408680786939e-13
10000000.0	0.59	4.84677874973078e-10	3.1999307295511435e-13
10000000.0	0.61	5.059983927349823e-10	2.4732999174692425e-13
10000000.0	0.63	5.262187944536788e-10	1.8700700172370585e-13
10000000.0	0.65	5.453118224464287e-10	1.3935385634605088e-13
10000000.0	0.67	5.632579317779494e-10	1.0083802260852915e-13
10000000.0	0.6900000000000001	5.800440966953671e-10	6.718214377562845e-14
10000000.0	0.7100000000000001	5.956630835309113e-10	4.239713008262919e-14
10000000.0	0.73	6.101134176018274e-10	2.6474404767829532e-14
10000000.0	0.75	6.233984812862476e-10	1.3616325644635075e-14
10000000.0	0.77	6.355268116492023e-10	5.036154691169739e-15
10000000.0	0.79	6.465124057635244e-10	1.777392732961165e-15
10000000.0	0.81	6.563724649036452e-10	3.762327071457184e-16
10000000.0	0.8300000000000001	6.65127990999245e-10	5.93900107823756e-17
10000000.0	0.85	6.728053622911102e-10	4.6953285845465505e-16
10000000.0	0.87	6.794320205219918e-10	4.770721727877585e-16
10000000.0	0.89	6.850351091653127e-10	6.223904249668121e-16
10000000.0	0.91	6.896444597626853e-10	6.40870111126729e-16
10000000.0	0.93	6.932886121730626e-10	2.6725091616216013e-16
10000000.0	0.9500000000000001	6.959916825643385e-10	7.378276149335216e-17
10000000.0	0.97	6.977761440139541e-10	2.025309002265567e-17
10000000.0	0.99	6.986612355475152e-10	4.808874157934043e-19
11898416.954165636	0.01	9.251589452472442e-18	3.1474571297768165e-11
11898416.954165636	0.03	5.456448769118129e-17	1.2873541492809072e-11
11898416.954165636	0.05	8.265468692581248e-18	5.1522090372228165e-11
11898416.954165636	0.06999999999999999	1.0706659446789297e-15	4.636983892051877e-11
11898416.954165636	0.09	2.4534575959149914e-14	2.1524422570520276e-11
11898416.954165636	0.11	2.2199522506908514e-13	3.690528220531507e-12
11898416.954165636	0.13	1.1682082536723151e-12	6.624144705991823e-13
11898416.954165636	0.15000000000000002	4.0685374053238686e-12	1.1109659956527098e-11
11898416.954165636	0.17	1.0407424554308516e-11	3.05474633970064e-11
11898416.954165636	0.19	2.1341488376182983e-11	5.400731889676299e-11
11898416.954165636	0.21000000000000002	3.74221159529973e-11	7.731508243701027e-11
11898416.954165636	0.23	5.865997604963432e-11	9.760966695228716e-11
11898416.954165636	0.25	8.470243141758571e-11	1.1335047431059671e-10
11898416.954165636	0.27	1.1499481695979498e-10	1.2403636863448438e-10
11898416.954165636	0.29000000000000004	1.4889427415175359e-10	1.2984635918585347e-10
11898416.954165636	0.31	1.857411656756668e-10	1.3135438402451126e-10
11898416.954165636	0.33	2.2490026037368966e-10	1.2932670970301161e-10
11898416.954165636	0.35000000000000003	2.657825310117671e-10	1.2455564038789727e-10
11898416.954165636	0.37	3.078550193975556e-10	1.1776744575704491e-10
11898416.954165636	0.39	3.5064330734843036e-10	1.0961380874898516e-10
11898416.954165636	0.41000000000000003	3.937300665041711e-10	1.0065691538813777e-10
11898416.954165636	0.43	4.367520344683716e-10	9.133378925860334e-11
11898416.954165636	0.45	4.793956348877662e-10	8.197710283962709e-11
11898416.954165636	0.47000000000000003	5.213915907440709e-10	7.285616477996261e-11
11898416.954165636	0.49	5.625104468738256e-10	6.416767886862778e-11
11898416.954165636	0.51	6.025589439203841e-10	5.603235071562457e-11
11898416.954165636	0.53	6.4137526560608e-10	4.85279113856939e-11
11898416.954165636	0.55	6.788244308193274e-10	4.169769056044675e-11
11898416.954165636	0.5700000000000001	7.147960750001944e-10	3.5548785831579e-11
11898416.954165636	0.59	7.492020732682491e-10	3.0072563800278585e-11
11898416.954165636	0.61	7.819722129444999e-10	2.524187927781027e-11
11898416.954165636	0.63	8.130516797947931e-10	2.100210493995881e-11
11898416.954165636	0.65	8.424009052566213e-10	1.7307999989209398e-11
11898416.954165636	0.67	8.699931541907808e-10	1.4130232367608136e-11
11898416.954165636	0.6900000000000001	8.958110037908272e-10	1.1407211604504635e-11
11898416.954165636	0.7100000000000001	9.198461878597965e-10	9.068702961472796e-12
11898416.954165636	0.73	9.420997367417883e-10	7.093490384098043e-12
11898416.954165636	0.75	9.62579173334425e-10	5.4587975429462645e-12
11898416.954165636	0.77	9.812970772445101e-10	4.0982741435053426e-12
11898416.954165636	0.79	9.982719881980556e-10	2.97492125972315e-12
11898416.954165636	0.81	1.0135274049479859e-09	2.0922708128905375e-12
11898416.954165636	0.8300000000000001	1.027090311856718e-09	1.4164506745924925e-12
11898416.954165636	0.85	1.0389915576613636e-09	8.977738920983141e-13
