# El	 r	 phi_matrix_elements_list	 d2E01dphi2_list
50000000.0	0.05	98756.79951555839	38372457.84816742
50000000.0	0.06525423728813559	147077.22548713643	29676622.165260315
50000000.0	0.0805084745762712	206550.5000723385	22404418.016281128
50000000.0	0.09576271186440678	277016.44933821587	16685688.734664917
50000000.0	0.11101694915254237	357620.68309545924	12337750.517349243
50000000.0	0.12627118644067797	447111.9646021534	9092140.697021484
50000000.0	0.14152542372881355	544074.3159404624	6693053.963241577
50000000.0	0.15677966101694915	647081.3385058222	4928587.97744751
50000000.0	0.17203389830508475	754785.5473747982	3633802.9554748535
50000000.0	0.18728813559322033	865962.3394178711	2684246.9176483154
50000000.0	0.2025423728813559	979525.8099332576	1987551.0461425781
50000000.0	0.21779661016949153	1094528.6664021118	1475765.7220458984
50000000.0	0.2330508474576271	1210153.9988146266	1099157.7722167969
50000000.0	0.24830508474576268	1325703.4608586668	821418.0207824707
50000000.0	0.2635593220338983	1440584.3804562949	616074.2660522461
50000000.0	0.2788135593220339	1554297.111195818	463822.69454956055
50000000.0	0.29406779661016946	1666423.2524770517	350588.1362915039
50000000.0	0.30932203389830504	1776614.992158276	266091.31439208984
50000000.0	0.32457627118644067	1884585.6280146174	202817.7960205078
50000000.0	0.33983050847457624	1990101.2250273745	155261.3117980957
50000000.0	0.3550847457627118	2092973.3199308445	119382.7505493164
50000000.0	0.37033898305084745	2193052.567480158	92207.3908996582
50000000.0	0.385593220338983	2290223.2208806397	71541.13677978516
50000000.0	0.4008474576271186	2384398.344267492	55760.011138916016
50000000.0	0.4161016949152542	2475515.6638052803	43660.31204223633
50000000.0	0.4313559322033898	2563533.973885692	34342.62725830078
50000000.0	0.4466101694915254	2648430.024878341	27137.340087890625
50000000.0	0.46186440677966095	2730195.8280890924	21541.780700683594
50000000.0	0.4771186440677966	2808836.3220739593	17176.799926757812
50000000.0	0.49237288135593216	2884367.351899935	13758.151245117188
50000000.0	0.5076271186440677	2956813.9194609914	11068.475646972656
50000000.0	0.5228813559322034	3026208.668714678	8943.708801269531
50000000.0	0.538135593220339	3092590.574632757	7257.0245361328125
50000000.0	0.5533898305084746	3156003.8089339784	5914.6270751953125
50000000.0	0.5686440677966101	3216496.759352175	4838.9996337890625
50000000.0	0.5838983050847457	3274121.1823308696	3976.1746215820312
50000000.0	0.5991525423728814	3328931.4717359236	3279.1140747070312
50000000.0	0.614406779661017	3380984.028513953	2714.9221801757812
50000000.0	0.6296610169491526	3430336.718218088	2255.2981567382812
50000000.0	0.6449152542372881	3477048.4050567513	1880.145263671875
50000000.0	0.6601694915254237	3521178.552605422	1572.5692749023438
50000000.0	0.6754237288135593	3562786.882602216	1319.1888427734375
50000000.0	0.690677966101695	3601933.084354781	1109.783935546875
50000000.0	0.7059322033898305	3638676.568243026	936.05712890625
50000000.0	0.7211864406779661	3673076.257632176	791.3946533203125
50000000.0	0.7364406779661017	3705190.4142330033	670.2841186523438
50000000.0	0.7516949152542373	3735076.492572551	568.5726928710938
50000000.0	0.7669491525423728	3762791.0197825874	482.991943359375
50000000.0	0.7822033898305085	3788389.497388867	410.361328125
50000000.0	0.7974576271186441	3811926.3221963374	348.80218505859375
50000000.0	0.8127118644067797	3833454.7237288686	295.82061767578125
50000000.0	0.8279661016949152	3853026.715995933	250.3839111328125
50000000.0	0.8432203389830508	3870693.0616376684	211.79718017578125
50000000.0	0.8584745762711864	3886503.246739627	177.8466796875
50000000.0	0.873728813559322	3900505.46482242	148.36212158203125
50000000.0	0.8889830508474577	3912746.6086962908	122.73651123046875
50000000.0	0.9042372881355932	3923272.269034335	99.7174072265625
50000000.0	0.9194915254237288	3932126.738661919	79.7113037109375
50000000.0	0.9347457627118644	3939353.0216843253	61.32843017578125
50000000.0	0.95	3944992.846687081	44.94232177734375
56210501.753104344	0.05	133068.20627619213	52558742.77885437
56210501.753104344	0.06525423728813559	193690.55505314303	41636362.76332855
56210501.753104344	0.0805084745762712	266305.6937277885	32210943.603744507
56210501.753104344	0.09576271186440678	350591.23238138866	24577781.780319214
56210501.753104344	0.11101694915254237	445541.8366376813	18613328.22166443
56210501.753104344	0.12627118644067797	549790.7194049768	14044833.859405518
56210501.753104344	0.14152542372881355	661839.8260783922	10583538.69506836
56210501.753104344	0.15677966101694915	780203.080820514	7976063.397216797
56210501.753104344	0.17203389830508475	903484.9685357431	6017091.284866333
56210501.753104344	0.18728813559322033	1030417.2053691138	4546668.187408447
56210501.753104344	0.2025423728813559	1159870.6766683515	3442717.4977111816
56210501.753104344	0.21779661016949153	1290853.879564525	2613118.164367676
56210501.753104344	0.2330508474576271	1422504.6223749544	1988770.1921081543
56210501.753104344	0.24830508474576268	1554078.8116010916	1518022.2340393066
56210501.753104344	0.2635593220338983	1684938.402005491	1162311.4695739746
56210501.753104344	0.2788135593220339	1814539.5809774357	892874.5985412598
56210501.753104344	0.29406779661016946	1942421.7019333914	688245.6582641602
56210501.753104344	0.30932203389830504	2068197.1804623548	532395.7621765137
56210501.753104344	0.32457627118644067	2191542.4079594095	413338.6148071289
56210501.753104344	0.33983050847457624	2312189.6562829874	322102.7861022949
56210501.753104344	0.3550847457627118	2429919.9081351236	251958.53897094727
56210501.753104344	0.37033898305084745	2544556.531824278	197847.68142700195
56210501.753104344	0.385593220338983	2655959.715080965	155961.22467041016
56210501.753104344	0.4008474576271186	2764021.5750598274	123422.82440185547
56210501.753104344	0.4161016949152542	2868661.867156325	98055.60974121094
56210501.753104344	0.4313559322033898	2969824.2220808608	78207.65991210938
56210501.753104344	0.4466101694915254	3067472.847867841	62620.93048095703
56210501.753104344	0.46186440677966095	3161589.64048707	50335.53771972656
56210501.753104344	0.4771186440677966	3252171.653201022	40616.927490234375
56210501.753104344	0.49237288135593216	3339228.8808051134	32900.54260253906
56210501.753104344	0.5076271186440677	3422782.3201928157	26750.511474609375
56210501.753104344	0.5228813559322034	3502862.273433998	21830.682678222656
56210501.753104344	0.538135593220339	3579506.86377876	17882.649536132812
56210501.753104344	0.5533898305084746	3652760.738664214	14700.948486328125
56210501.753104344	0.5686440677966101	3722673.937015815	12129.233093261719
56210501.753104344	0.5838983050847457	3789300.900944359	10041.83349609375
56210501.753104344	0.5991525423728814	3852699.6143778795	8342.355651855469
56210501.753104344	0.614406779661017	3912930.853303853	6953.052062988281
56210501.753104344	0.6296610169491526	3970057.5341761955	5814.335632324219
56210501.753104344	0.6449152542372881	4024144.1486696037	4876.9024658203125
56210501.753104344	0.6601694915254237	4075256.2743932586	4102.97607421875
56210501.753104344	0.6754237288135593	4123460.1524171587	3462.25341796875
56210501.753104344	0.690677966101695	4168822.323553391	2929.0512084960938
56210501.753104344	0.7059322033898305	4211409.316289042	2484.1131591796875
56210501.753104344	0.7211864406779661	4251287.380108724	2112.132568359375
56210501.753104344	0.7364406779661017	4288522.258684588	1798.7200927734375
56210501.753104344	0.7516949152542373	4323178.998060987	1534.833984375
56210501.753104344	0.7669491525423728	4355321.7855335325	1311.0946655273438
56210501.753104344	0.7822033898305085	4385013.815422779	1120.4763793945312
56210501.753104344	0.7974576271186441	4412317.178388208	958.0160522460938
56210501.753104344	0.8127118644067797	4437292.771319414	818.2781982421875
56210501.753104344	0.8279661016949152	4460000.225188386	697.7252197265625
56210501.753104344	0.8432203389830508	4480497.8485538075	593.1216430664062
56210501.753104344	0.8584745762711864	4498842.584678209	501.87744140625
56210501.753104344	0.873728813559322	4515089.980459382	421.50970458984375
56210501.753104344	0.8889830508474577	4529294.165587443	350.37872314453125
56210501.753104344	0.9042372881355932	4541507.84052879	286.96014404296875
56210501.753104344	0.9194915254237288	4551782.272102273	230.04547119140625
56210501.753104344	0.9347457627118644	4560167.295561672	178.6102294921875
56210501.753104344	0.95	4566711.3222282	131.3360595703125
63192410.14671489	0.05	176487.05731435097	71088895.59597015
63192410.14671489	0.06525423728813559	251863.21343091232	57577027.36953735
63192410.14671489	0.0805084745762712	339950.21821247484	45564897.493515015
63192410.14671489	0.09576271186440678	440310.6171866973	35559930.2721405
63192410.14671489	0.11101694915254237	551826.5098379514	27535398.81111145
63192410.14671489	0.12627118644067797	673040.0085784399	21236919.19189453
63192410.14671489	0.14152542372881355	802383.6467242024	16352815.926132202
63192410.14671489	0.15677966101694915	938316.8213673924	12590190.93383789
63192410.14671489	0.17203389830508475	1079397.2093522025	9700930.46585083
63192410.14671489	0.18728813559322033	1224312.3247622221	7485137.129058838
63192410.14671489	0.2025423728813559	1371888.6187798388	5785935.354766846
63192410.14671489	0.21779661016949153	1521088.812671225	4481965.880584717
63192410.14671489	0.2330508474576271	1671003.5747944433	3480072.994995117
63192410.14671489	0.24830508474576268	1820840.8644472654	2709051.0974121094
63192410.14671489	0.2635593220338983	1969914.6765919789	2114591.237182617
63192410.14671489	0.2788135593220339	2117634.052970699	1655301.0305786133
63192410.14671489	0.29406779661016946	2263492.763301728	1299634.190826416
63192410.14671489	0.30932203389830504	2407059.819633989	1023540.5497741699
63192410.14671489	0.32457627118644067	2547970.8639859464	808663.006439209
63192410.14671489	0.33983050847457624	2685920.4081576653	640975.7551574707
63192410.14671489	0.3550847457627118	2820654.875529998	509748.9889526367
63192410.14671489	0.37033898305084745	2951966.3824763605	406753.93157958984
63192410.14671489	0.385593220338983	3079687.193452325	325677.9391479492
63192410.14671489	0.4008474576271186	3203684.7849075566	261660.02838134766
63192410.14671489	0.4161016949152542	3323857.456600232	210953.94927978516
63192410.14671489	0.4313559322033898	3440130.433404014	170664.9087524414
63192410.14671489	0.4466101694915254	3552452.40552826	138550.35278320312
63192410.14671489	0.46186440677966095	3660792.4600193165	112868.9730834961
63192410.14671489	0.4771186440677966	3765137.3610303625	92265.49072265625
63192410.14671489	0.49237288135593216	3865489.1406863285	75683.33953857422
63192410.14671489	0.5076271186440677	3961862.966444953	62290.81604003906
63192410.14671489	0.5228813559322034	4054285.254530429	51440.9765625
63192410.14671489	0.538135593220339	4142792.002340217	42621.96533203125
63192410.14671489	0.5533898305084746	4227427.315722227	35430.633544921875
63192410.14671489	0.5686440677966101	4308242.109641902	29546.58966064453
63192410.14671489	0.5838983050847457	4385292.963096176	24717.870483398438
63192410.14671489	0.5991525423728814	4458641.1112261005	20740.19073486328
63192410.14671489	0.614406779661017	4528351.559445703	17454.48486328125
63192410.14671489	0.6296610169491526	4594492.30607414	14731.268005371094
63192410.14671489	0.6449152542372881	4657133.661442274	12467.276916503906
63192410.14671489	0.6601694915254237	4716347.6527494425	10578.235473632812
63192410.14671489	0.6754237288135593	4772207.505100752	8997.316589355469
63192410.14671489	0.690677966101695	4824787.190183186	7669.57763671875
63192410.14671489	0.7059322033898305	4874161.034958499	6551.540222167969
63192410.14671489	0.7211864406779661	4920403.38357673	5605.699768066406
63192410.14671489	0.7364406779661017	4963588.306452555	4803.928527832031
63192410.14671489	0.7516949152542373	5003789.3511019265	4121.378173828125
63192410.14671489	0.7669491525423728	5041079.329919512	3538.0316162109375
63192410.14671489	0.7822033898305085	5075530.140594855	3037.6071166992188
63192410.14671489	0.7974576271186441	5107212.615330196	2606.5420532226562
63192410.14671489	0.8127118644067797	5136196.395440555	2233.8143920898438
63192410.14671489	0.8279661016949152	5162549.828290079	1909.7451782226562
63192410.14671489	0.8432203389830508	5186339.883853682	1626.7098999023438
63192410.14671489	0.8584745762711864	5207632.088490377	1378.1442260742188
63192410.14671489	0.873728813559322	5226490.473780846	1159.0383911132812
63192410.14671489	0.8889830508474577	5242977.538519189	963.9871215820312
63192410.14671489	0.9042372881355932	5257154.222161263	790.1889038085938
63192410.14671489	0.9194915254237288	5269079.888223686	633.3975219726562
63192410.14671489	0.9347457627118644	5278812.316296995	491.27838134765625
63192410.14671489	0.95	5286407.701489331	361.65618896484375
71041541.62669612	0.05	230698.61848488462	95026301.35620117
71041541.62669612	0.06525423728813559	323712.8105037499	78547069.52133179
71041541.62669612	0.0805084745762712	430002.3810634284	63479091.41441345
71041541.62669612	0.09576271186440678	549069.7603751995	50588444.985809326
71041541.62669612	0.11101694915254237	679729.2750338292	39988476.53640747
71041541.62669612	0.12627118644067797	820461.4339348383	31472927.309646606
71041541.62669612	0.14152542372881355	969645.8681696153	24723309.839172363
71041541.62669612	0.15677966101694915	1125695.3607955757	19413361.403503418
71041541.62669612	0.17203389830508475	1287123.854360168	15252261.041107178
71041541.62669612	0.18728813559322033	1452575.3124572702	11997040.924072266
71041541.62669612	0.2025423728813559	1620831.2555679856	9451460.6199646
71041541.62669612	0.21779661016949153	1790807.528724969	7459914.03717041
71041541.62669612	0.2330508474576271	1961546.1200501444	5900264.979400635
71041541.62669612	0.24830508474576268	2132205.06987578	4677190.363311768
71041541.62669612	0.2635593220338983	2302047.983856052	3716498.667755127
71041541.62669612	0.2788135593220339	2470433.863019524	2960530.507507324
71041541.62669612	0.29406779661016946	2636807.558864731	2364480.6797790527
71041541.62669612	0.30932203389830504	2800690.963343812	1893527.221069336
71041541.62669612	0.32457627118644067	2961674.9498442304	1520584.4723510742
71041541.62669612	0.33983050847457624	3119412.0389587907	1224567.9684448242
71041541.62669612	0.3550847457627118	3273609.745108905	989038.9517211914
71041541.62669612	0.37033898305084745	3424024.5539741176	801169.3322753906
71041541.62669612	0.385593220338983	3570456.4799994514	650927.5213623047
71041541.62669612	0.4008474576271186	3712744.1547881365	530460.8322143555
71041541.62669612	0.4161016949152542	3850760.3998873695	433605.8935546875
71041541.62669612	0.4313559322033898	3984408.2406021543	355521.43981933594
71041541.62669612	0.4466101694915254	4113617.3205906497	292394.4158935547
71041541.62669612	0.46186440677966095	4238340.6801617555	241214.70245361328
71041541.62669612	0.4771186440677966	4358551.864254567	199602.83660888672
71041541.62669612	0.49237288135593216	4474242.328926458	165672.41912841797
71041541.62669612	0.5076271186440677	4585419.117917747	137925.6756591797
71041541.62669612	0.5228813559322034	4692102.783401683	115168.57360839844
71041541.62669612	0.538135593220339	4794325.527368415	96449.75189208984
71041541.62669612	0.5533898305084746	4892129.542231713	81007.49267578125
71041541.62669612	0.5686440677966101	4985565.531223018	68230.34088134766
71041541.62669612	0.5838983050847457	5074691.390917822	57626.315002441406
71041541.62669612	0.5991525423728814	5159571.039882055	48801.56066894531
71041541.62669612	0.614406779661017	5240273.378929356	41434.69757080078
71041541.62669612	0.6296610169491526	5316871.369843865	35265.45959472656
71041541.62669612	0.6449152542372881	5389441.220663645	30085.93048095703
71041541.62669612	0.6601694915254237	5458061.666736594	25723.775939941406
71041541.62669612	0.6754237288135593	5522813.33777617	22037.76397705078
71041541.62669612	0.690677966101695	5583778.2020639945	18914.642028808594
71041541.62669612	0.7059322033898305	5641039.079792537	16259.386596679688
71041541.62669612	0.7211864406779661	5694679.218311335	13994.489135742188
71041541.62669612	0.7364406779661017	5744781.922742208	12058.104858398438
71041541.62669612	0.7516949152542373	5791430.236061662	10396.062927246094
71041541.62669612	0.7669491525423728	5834706.66332338	8964.599304199219
71041541.62669612	0.7822033898305085	5874692.935211287	7727.341003417969
71041541.62669612	0.7974576271186441	5911469.806587248	6655.174255371094
71041541.62669612	0.8127118644067797	5945116.886130819	5719.034729003906
71041541.62669612	0.8279661016949152	5975712.493560297	4902.311096191406
71041541.62669612	0.8432203389830508	6003333.541281854	4186.0162353515625
71041541.62669612	0.8584745762711864	6028055.437634036	3552.5390625
71041541.62669612	0.873728813559322	6049952.009184641	2991.522216796875
71041541.62669612	0.8889830508474577	6069095.439799337	2491.182861328125
71041541.62669612	0.9042372881355932	6085556.224439634	2043.0368041992188
71041541.62669612	0.9194915254237288	6099403.135863536	1638.995361328125
71041541.62669612	0.9347457627118644	6110703.202596957	1271.1099243164062
71041541.62669612	0.95	6119521.696719432	936.2796020507812
79865614.00301269	0.05	297568.846459381	125626678.32046509
79865614.00301269	0.06525423728813559	411615.1307169458	105794394.81536865
79865614.00301269	0.0805084745762712	539316.6331831415	87173448.34281921
79865614.00301269	0.09576271186440678	680173.9945873494	70832110.18455505
79865614.00301269	0.11101694915254237	832983.4368437766	57070766.17034912
79865614.00301269	0.12627118644067797	996198.6293954678	45767891.23970032
79865614.00301269	0.14152542372881355	1168167.5858592796	36621046.02584839
79865614.00301269	0.15677966101694915	1347268.1917776447	29281994.765167236
79865614.00301269	0.17203389830508475	1531976.477269475	23420802.904815674
79865614.00301269	0.18728813559322033	1720895.3611140535	18750387.3197937
79865614.00301269	0.2025423728813559	1912762.1426405688	15031647.270812988
79865614.00301269	0.21779661016949153	2106445.475202489	12070145.547180176
79865614.00301269	0.2330508474576271	2300937.6547844326	9709887.207183838
79865614.00301269	0.24830508474576268	2495345.202029645	7826647.674407959
79865614.00301269	0.2635593220338983	2688879.166008368	6321904.24987793
79865614.00301269	0.2788135593220339	2880845.7819282054	5117670.877532959
79865614.00301269	0.29406779661016946	3070637.7264501415	4152263.275909424
79865614.00301269	0.30932203389830504	3257726.035553076	3376890.1414489746
79865614.00301269	0.32457627118644067	3441652.6740651275	2752938.025817871
79865614.00301269	0.33983050847457624	3622023.7181361397	2249819.3435668945
79865614.00301269	0.3550847457627118	3798503.104962679	1843283.5208129883
79865614.00301269	0.37033898305084745	3970806.9050458986	1514080.725402832
79865614.00301269	0.385593220338983	4138698.075962843	1246905.9777832031
79865614.00301269	0.4008474576271186	4301981.660490135	1029577.3187255859
79865614.00301269	0.4161016949152542	4460500.39528708	852383.6663818359
79865614.00301269	0.4313559322033898	4614130.69928691	707568.6428833008
79865614.00301269	0.4466101694915254	4762779.013299244	588929.9523925781
79865614.00301269	0.46186440677966095	4906378.464335269	491496.11389160156
79865614.00301269	0.4771186440677966	5044885.8299418185	411279.2907714844
79865614.00301269	0.49237288135593216	5178278.779470717	345069.9398803711
79865614.00301269	0.5076271186440677	5306553.370657709	290283.63189697266
79865614.00301269	0.5228813559322034	5429721.781319966	244831.23962402344
79865614.00301269	0.538135593220339	5547810.257311105	207027.4658203125
