# El	 r	 phi_matrix_elements_list	 d2E01dphi2_list
50000000.0	0.05	4148869.0352001563	2909093.808689356
50000000.0	0.06525423728813559	4140606.0839319336	2701894.1630963087
50000000.0	0.0805084745762712	4131380.19797308	2477513.7311139107
50000000.0	0.09576271186440678	4121614.9757968853	2248563.8769876957
50000000.0	0.11101694915254237	4111629.587588016	2024110.9075831175
50000000.0	0.12627118644067797	4101653.9203285184	1810199.7187407017
50000000.0	0.14152542372881355	4091848.5005544964	1610481.265793264
50000000.0	0.15677966101694915	4082322.4273558096	1426884.8180398345
50000000.0	0.17203389830508475	4073147.524481223	1260094.6844493747
50000000.0	0.18728813559322033	4064368.8861362706	1109981.9651010036
50000000.0	0.2025423728813559	4056012.5372289936	975864.8543279767
50000000.0	0.21779661016949153	4048090.9415414436	856723.6646143794
50000000.0	0.2330508474576271	4040606.9529030565	751380.7174975276
50000000.0	0.24830508474576268	4033556.6533042057	658576.212978065
50000000.0	0.2635593220338983	4026931.3975665253	577047.5979450047
50000000.0	0.2788135593220339	4020719.2914252398	505575.4595077038
50000000.0	0.29406779661016946	4014906.2634178633	443022.34231999516
50000000.0	0.30932203389830504	4009476.8441354893	388325.98409721255
50000000.0	0.32457627118644067	4004414.733545597	340529.88690781593
50000000.0	0.33983050847457624	3999703.214040043	298775.71131017804
50000000.0	0.3550847457627118	3995325.450618432	262292.7010630965
50000000.0	0.37033898305084745	3991264.708117769	230402.54425890744
50000000.0	0.385593220338983	3987504.5072126435	202507.49561792612
50000000.0	0.4008474576271186	3984028.735050005	178082.64274322242
50000000.0	0.4161016949152542	3980821.722164547	156669.4877673909
50000000.0	0.4313559322033898	3977868.2942687715	137882.64561133832
50000000.0	0.4466101694915254	3975153.805290487	121370.19633481652
50000000.0	0.46186440677966095	3972664.156407619	106832.49226417392
50000000.0	0.4771186440677966	3970385.8046358675	94020.45787388086
50000000.0	0.49237288135593216	3968305.763643261	82715.59777672961
50000000.0	0.5076271186440677	3966411.5988108166	72719.06442720816
50000000.0	0.5228813559322034	3964691.418069536	63877.334625177085
50000000.0	0.538135593220339	3963133.859677578	56036.44807346165
50000000.0	0.5533898305084746	3961728.077824937	49088.85202968493
50000000.0	0.5686440677966101	3960463.7267434536	42919.9206721168
50000000.0	0.5838983050847457	3959330.9438410196	37446.79543370381
50000000.0	0.5991525423728814	3958320.332256469	32582.409063285217
50000000.0	0.614406779661017	3957422.9431383167	28273.033019578084
50000000.0	0.6296610169491526	3956630.257878611	24445.062598213553
50000000.0	0.6449152542372881	3955934.170476579	21051.294876550324
50000000.0	0.6601694915254237	3955326.9701643167	18047.501059397124
50000000.0	0.6754237288135593	3954801.32439222	15395.604918481782
50000000.0	0.690677966101695	3954350.262245847	13055.609502235427
50000000.0	0.7059322033898305	3953967.1583454013	11003.493840885349
50000000.0	0.7211864406779661	3953645.7172626755	9210.067411343567
50000000.0	0.7364406779661017	3953379.958477738	7642.702022100799
50000000.0	0.7516949152542373	3953164.201887931	6285.378554903436
50000000.0	0.7669491525423728	3952993.053873933	5115.677507782821
50000000.0	0.7822033898305085	3952861.3939217306	4117.017669924535
50000000.0	0.7974576271186441	3952764.361794823	3263.6526969124097
50000000.0	0.8127118644067797	3952697.345247288	2547.4740888121305
50000000.0	0.8279661016949152	3952655.968265953	1954.1686108261347
50000000.0	0.8432203389830508	3952636.0798275922	1465.1042658472434
50000000.0	0.8584745762711864	3952633.7431562664	1070.0737897031358
50000000.0	0.873728813559322	3952645.225464154	760.2974415695062
50000000.0	0.8889830508474577	3952666.9881592486	520.088026685582
50000000.0	0.9042372881355932	3952695.6775027625	337.8614789028652
50000000.0	0.9194915254237288	3952728.1156986686	205.76398053078447
50000000.0	0.9347457627118644	3952761.2923983885	118.39960605703527
50000000.0	0.95	3952792.3566033393	58.836466753484274
56210501.753104344	0.05	4733145.297244566	14635448.78463173
56210501.753104344	0.06525423728813559	4728379.833838919	14230170.351641655
56210501.753104344	0.0805084745762712	4722770.7740215985	13754847.540345192
56210501.753104344	0.09576271186440678	4716525.35499635	13226049.22568369
