phi,wfunc0_up_sqr,wfunc0_down_sqr,wfunc1_up_sqr,wfunc1_down_sqr
-8.0,2.505198863633537e-07,3.7180419899467194e-06,6.2919885627622025e-06,1.129191367593316e-06
-7.967935871743487,2.8079209327082384e-07,3.953495394649154e-06,6.9072349021523654e-06,1.149186725428732e-06
-7.935871743486974,3.146348332788988e-07,4.184893632505516e-06,7.564886475419844e-06,1.1655590127714237e-06
-7.903807615230461,3.5252258219362165e-07,4.4107323024826475e-06,8.266595832364264e-06,1.1780746700018696e-06
-7.871743486973948,3.949957073304231e-07,4.629699105519789e-06,9.01421663450833e-06,1.1865289199942364e-06
-7.839679358717436,4.426676461607728e-07,4.840713186857537e-06,9.80985829593304e-06,1.1907495846171403e-06
-7.807615230460922,4.962324476917332e-07,5.0429590900920465e-06,1.0655943429418925e-05,1.190600623203857e-06
-7.775551102204409,5.564725953589267e-07,5.235914575237089e-06,1.155526759389099e-05,1.1859853148879443e-06
-7.743486973947896,6.242670298503425e-07,5.4193718113918235e-06,1.2511060335277174e-05,1.176849021219495e-06
-7.7114228456913825,7.005992343346352e-07,5.593451673773017e-06,1.3527046777691654e-05,1.163181467909471e-06
-7.679358717434869,7.8656523245216e-07,5.758611248369904e-06,1.4607509045090386e-05,1.1450184831125966e-06
-7.647294589178357,8.833812982148766e-07,5.9156448915438266e-06,1.575734676910459e-05,1.122443146441367e-06
-7.615230460921844,9.923911605609265e-07,6.065679642522215e-06,1.6982135834013557e-05,1.0955862988369914e-06
-7.58316633266533,1.1150724317480372e-06,6.210165668104685e-06,1.8288184757987133e-05,1.0646263786012158e-06
-7.551102204408818,1.2530419694251989e-06,6.350862956883013e-06,1.9682587720548222e-05,1.0297885574170235e-06
-7.519038076152305,1.408059854974702e-06,6.489825585522799e-06,2.117327404891104e-05,9.913431532248223e-07
-7.486973947895791,1.5820316323837623e-06,6.629384561651438e-06,2.2769052298316985e-05,9.496033171152591e-07
-7.454909819639278,1.7770084565299092e-06,6.77213092439728e-06,2.4479649104587e-05,9.049219909097548e-07
-7.422845691382766,1.9951847664191716e-06,6.9208999772904445e-06,2.6315740822679753e-05,8.576881515264302e-07
-7.390781563126253,2.2388931328437206e-06,7.078758023685294e-06,2.828897722412477e-05,8.083223651294382e-07
-7.358717434869739,2.5105959078339237e-06,7.248992446388748e-06,3.0411995910929717e-05,7.572716839625277e-07
-7.326653306613227,2.8128733539328056e-06,7.435105663238391e-06,3.269842527047802e-05,7.050039358423956e-07
-7.294589178356714,3.148407963333148e-06,7.640813619953433e-06,3.5162875184357114e-05,6.520014609398569e-07
-7.2625250501002,3.5199647179843755e-06,7.870048674437872e-06,3.782091275209021e-05,5.987543656554509e-07
-7.2304609218436875,3.930367127396573e-06,8.126966738651406e-06,4.0689021568144795e-05,5.457533756233882e-07
-7.198396793587174,4.38246893387562e-06,8.415958260934395e-06,4.3784542486848384e-05,4.934823777697112e-07
-7.166332665330662,4.879121491527241e-06,8.741661970938212e-06,4.7125593460805936e-05,4.4241075719378933e-07
-7.134268537074148,5.423136904153544e-06,9.10898068518766e-06,5.0730967043993925e-05,3.929856438245649e-07
-7.102204408817635,6.01724712759273e-06,9.523097687738415e-06,5.462000359200306e-05,3.4562419641333865e-07
-7.070140280561122,6.664059359037568e-06,9.989492487566843e-06,5.881243876915932e-05,3.007060656908372e-07
-7.03807615230461,7.366008144571344e-06,1.0513954561893226e-05,6.332822436223199e-05,2.585661882837745e-07
-7.006012024048096,8.12530477387229e-06,1.110259374999257e-05,6.818732215539492e-05,2.1948807965686816e-07
-6.973947895791583,8.943884620844298e-06,1.1761846119811181e-05,7.340947087567398e-05,1.8369780607554493e-07
-6.941883767535071,9.823353240024802e-06,1.2498474378876765e-05,7.90139273868094e-05,1.5135883159294249e-07
-6.909819639278557,1.0764932078478816e-05,1.3319562033433076e-05,8.501918384743e-05,1.2256795073677816e-07
-6.877755511022044,1.176940480011476e-05,1.4232501156606284e-05,9.144266392936871e-05,9.735253362538126e-08
-6.845691382765532,1.2837065254859687e-05,1.5244973607099498e-05,9.830040131815863e-05,7.566932682754998e-08
-6.813627254509018,1.3967668195425584e-05,1.6364926416334028e-05,0.00010560670585406955,5.740507025616546e-08
-6.781563126252505,1.516038386344946e-05,1.7600542166920287e-05,0.00011337382248911192,4.237920711334978e-08
-6.7494989979959925,1.6413757570854685e-05,1.8960205863124343e-05,0.00012161159008565097,3.034898120590039e-08
-6.717434869739479,1.7725675391952164e-05,2.0452470030985074e-05,0.00013032710695843987,2.1017232427293066e-08
-6.6853707414829655,1.909333701059296e-05,2.2086020375197408e-05,0.0001395244117288239,1.4043216547533275e-08
-6.653306613226453,2.051323671181625e-05,2.3869644362559537e-05,0.00014920418743508506,9.056789856080252e-09
-6.62124248496994,2.1981153379657528e-05,2.5812205593977328e-05,0.00015936349803949635,5.676310500519242e-09
-6.589178356713427,2.3492150259309692e-05,2.7922626803786085e-05,0.00016999556588204146,3.530617680682018e-09
-6.557114228456913,2.5040585062456944e-05,3.0209884408650473e-05,0.00018108959871481774,2.2854542339826846e-09
-6.525050100200401,2.6620130836086573e-05,3.26830175338711e-05,0.00019263067416385704,1.6746984647791847e-09
-6.492985971943888,2.8223807814413175e-05,3.535115417688734e-05,0.0002045996890461313,1.536764687642342e-09
-6.460921843687374,2.9844026280738227e-05,3.8223556994873337e-05,0.00021697337936430535,1.8565188088256209e-09
-6.428857715430862,3.147264022986835e-05,4.1309690862976914e-05,0.00022972441609944488,2.813033465664011e-09
-6.396793587174349,3.310101142807713e-05,4.461931388745366e-05,0.00024282157984993033,4.833475707867002e-09
