phi,wfunc0_up_sqr,wfunc0_down_sqr,wfunc1_up_sqr,wfunc1_down_sqr
-8.0,1.0642011366113789e-07,3.732245538237023e-07,5.445991778527822e-08,9.711974337235411e-08
-7.967935871743487,7.46684855353752e-08,4.2947946292112357e-07,9.45282714175189e-08,1.3036592302785627e-07
-7.935871743486974,4.7258653766447786e-08,4.804123379542689e-07,1.449820168263945e-07,1.650131211328168e-07
-7.903807615230461,2.538689887608472e-08,5.238267462591458e-07,2.0479402527780668e-07,1.9940942544528966e-07
-7.871743486973948,9.964614780354267e-09,5.57822865243623e-07,2.7253826473232524e-07,2.3190595132998013e-07
-7.839679358717436,1.5704761235045037e-09,5.80888265695319e-07,3.464460899599658e-07,2.6093621830381923e-07
-7.807615230460922,4.1871611939749773e-10,5.919719618136695e-07,4.2447823010747655e-07,2.850923952139936e-07
-7.775551102204409,6.345376598257131e-09,5.905379701403225e-07,5.044092250745406e-07,3.0319472298693365e-07
-7.743486973947896,1.881360166614324e-08,5.765955233276178e-07,5.839201621378824e-07,3.1435059096693975e-07
-7.7114228456913825,3.6938102247338096e-08,5.507040960946707e-07,6.606953732258591e-07,3.1800025357514673e-07
-7.679358717434869,5.952800095968963e-08,5.139525897364792e-07,7.325184206805839e-07,3.139467106384082e-07
-7.647294589178357,8.514637840889848e-08,4.6791323911023595e-07,7.97362868575235e-07,3.02368061066633e-07
-7.615230460921844,1.1218393341635783e-07,4.1457209404097036e-07,8.534733820575695e-07,2.838114729930954e-07
-7.58316633266533,1.389434892293126e-07,3.562388970754511e-07,8.99433465917045e-07,2.591686988759836e-07
-7.551102204408818,1.6373141754411488e-07,2.954404247978759e-07,9.342166016819916e-07,2.2963410746972818e-07
-7.519038076152305,1.849516835644475e-07,2.3480218005708153e-07,9.572187612407682e-07,1.966470447246564e-07
-7.486973947895791,2.011978831561136e-07,1.7692383112012825e-07,9.68270676692859e-07,1.6182105017583785e-07
-7.454909819639278,2.1133876384903234e-07,1.242544746880375e-07,9.676301051922787e-07,1.2686336509324995e-07
-7.422845691382766,2.1459280204923442e-07,7.897364567779476e-08,9.559546862779661e-07,9.348850143554567e-08
-7.390781563126253,2.1058786098685715e-07,4.288407539168058e-08,9.342574837064696e-07,6.333019408080334e-08
-7.358717434869739,1.9940263089668574e-07,1.732161181760543e-08,9.038481942985076e-07,3.785615877929213e-08
-7.326653306613227,1.8158719481375783e-07,3.0870348025720806e-09,8.662634950984064e-07,1.829001825848877e-08
-7.294589178356714,1.581611690349372e-07,4.035858617397047e-10,8.231911821409135e-07,5.544592066048423e-09
-7.2625250501002,1.305887294369025e-07,8.902790688289238e-09,7.763925083707918e-07,1.7017978021272922e-10
-7.2304609218436875,1.0073101490867854e-07,2.763989224437022e-08,7.276276944678185e-07,2.3208693054387533e-09
-7.198396793587174,7.07774546536327e-08,5.513876245617334e-08,6.78589254668446e-07,1.1741045554754035e-08
-7.166332665330662,4.315854118640658e-08,8.946475655155084e-08,6.308472340082232e-07,2.7773317565624685e-08
-7.134268537074148,2.0443598956828146e-08,1.2832252881392382e-07,5.85810054003648e-07,4.9388030883611716e-08
-7.102204408817635,5.2278066727719184e-09,1.6917459036472304e-07,5.447035179891644e-07,7.523345195489904e-08
-7.070140280561122,1.3366200543513439e-11,2.0937523983378818e-07,5.08569531993508e-07,1.0370463178208235e-07
-7.03807615230461,7.090098617155436e-09,2.4631363005536686e-07,4.782848791625895e-07,1.3302794917839598e-07
-7.006012024048096,2.8420894450437764e-08,2.775591343103256e-07,4.545991457890085e-07,1.6135746142554378e-07
-6.973947895791583,6.553734012050895e-08,3.0100189361748294e-07,4.381895718905808e-07,1.8687844971927643e-07
-6.941883767535071,1.194505065559509e-07,3.1498145699216857e-07,4.297294474764243e-07,2.0791305032445318e-07
-6.909819639278557,1.9058128267609698e-07,3.1839688207026854e-07,4.2996564079948453e-07,2.230225909468458e-07
-6.877755511022044,2.787138419997657e-07,3.107922981847373e-07,4.398000126485382e-07,2.3110119434424937e-07
-6.845691382765532,3.8297487499775134e-07,2.9241309279048577e-07,4.6036882858295314e-07,2.314555497680275e-07
-6.813627254509018,5.018400523936886e-07,2.642290572856835e-07,4.931141644113061e-07,2.238661613016259e-07
-6.781563126252505,6.331680427433482e-07,2.2792242883257959e-07,5.39841208989446e-07,2.0862623662035082e-07
-6.7494989979959925,7.742611021628947e-07,1.858403459723444e-07,6.027559268408027e-07,1.8655529424419483e-07
-6.717434869739479,9.219501401758433e-07,1.4091298234756324e-07,6.844781546913154e-07,1.5898577738597243e-07
-6.6853707414829655,1.0727009176541006e-06,9.65402702874693e-08,7.880264289536297e-07,1.277221816390002e-07
-6.653306613226453,1.2227371702381754e-06,5.645175413749742e-08,9.16772014396408e-07,9.497362096790563e-08
-6.62124248496994,1.368175531431083e-06,2.454547614745561e-08,1.0743612872999135e-06,6.326204180783416e-08
-6.589178356713427,1.505166634398792e-06,4.712974153485645e-09,1.2646072215308853e-06,3.530962715645105e-08
-6.557114228456913,1.6300363865334647e-06,6.582979770718492e-10,1.4913525214176233e-06,1.3910072919545332e-08
-6.525050100200401,1.7394213893174068e-06,1.5719421427532877e-08,1.7583086186067213e-06,1.7893903109217277e-09
-6.492985971943888,1.8303926594011642e-06,5.2700511346746545e-08,2.0688763993311554e-06,1.462630614058893e-09
-6.460921843687374,1.9005623802662652e-06,1.137231796610084e-07,2.4259558020444075e-06,1.5093363881966225e-08
-6.428857715430862,1.9481690251682457e-06,2.001041198155545e-07,2.831752663313312e-06,4.4362879450833984e-08
-6.396793587174349,1.9721372826691608e-06,3.1226542193012803e-07,3.287591778461685e-06,9.035587665914016e-08
-6.364729458917835,1.9721102672118648e-06,4.4968243426391056e-07,3.7937455459553754e-06,1.534688786987993e-07
-6.332665330661323,1.9484527491377916e-06,6.108723455492263e-07,4.349287441697962e-06,2.3334675923966832e-07
-6.30060120240481,1.9022255177233974e-06,7.934247655352189e-07,4.951978868055273e-06,3.2885161920918954e-07
-6.268537074148296,1.8351322006620864e-06,9.94073632244563e-07,5.598197082305343e-06,4.3806689414836064e-07
-6.236472945891784,1.749441219770929e-06,1.2088077655724559e-06,6.282910223964178e-06,5.58337993036109e-07
-6.2044088176352705,1.6478866153324418e-06,1.433015515774392e-06,6.999703812253711e-06,6.863490955662858e-07
-6.1723446893787575,1.5335524507074897e-06,1.6616572772590799e-06,7.74086089222251e-06,8.182340370448361e-07
-6.140280561122245,1.4097462386121084e-06,1.8894582205218726e-06,8.49749573000169e-06,9.497175179987062e-07
-6.108216432865731,1.2798672785231467e-06,2.111112554619909e-06,9.259738556568124e-06,1.076281343640624e-06
-6.076152304609218,1.1472759952876287e-06,2.3214900158944494e-06,1.0016966486344725e-05,1.1933490413243325e-06
-6.044088176352706,1.0151702323952178e-06,2.5158351214777316e-06,1.0758073541965047e-05,1.2964811416842598e-06
-6.012024048096192,8.864740819516194e-07,2.6899500349738265e-06,1.147177065387663e-05,1.381572636210536e-06
-5.979959919839679,7.63744118918657e-07,2.8403527284111273e-06,1.2146905032700523e-05,1.4450437880911227e-06
-5.947895791583167,6.490970396245553e-07,2.964403322994982e-06,1.2772786950984933e-05,1.4840154512350471e-06
-5.915831663326653,5.441615585605121e-07,3.0603931932455592e-06,1.333951150114749e-05,1.4964605414616708e-06
-5.88376753507014,4.500561963619254e-07,3.1275933393298617e-06,1.3838262684413655e-05,1.4813241059860607e-06
-5.851703406813628,3.6739326038098227e-07,3.166260739800027e-06,1.426158770598222e-05,1.4386056648728775e-06
-5.819639278557114,2.9630797674004586e-07,3.1776037045033677e-06,1.460363048736354e-05,1.3693990378190823e-06
-5.787575150300601,2.3651046761202042e-07,3.1637095379739965e-06,1.48603148974219e-05,1.2758866571050117e-06
-5.755511022044089,1.8735709717937927e-07,3.1274400057784653e-06,1.5029470393661175e-05,1.1612873524687257e-06
-5.7234468937875755,1.479367377493651e-07,3.072302028504119e-06,1.511089518868871e-05,1.0297586702851313e-06
-5.6913827655310625,1.1716676821548624e-07,3.002302591136553e-06,1.510635476092024e-05,8.862568523232787e-07
-5.659318637274549,9.389313550455892e-08,2.921797970493782e-06,1.5019516493049394e-05,7.363595809923214e-07
-5.627254509018036,7.698864802975388e-08,2.835347962340285e-06,1.4855824018248086e-05,5.860583691546489e-07
-5.595190380761523,6.544379886212409e-08,2.7475857708712102e-06,1.4622317673374825e-05,4.4152897701322357e-07
-5.563126252505009,5.8444863669445877e-08,2.6631136010889093e-06,1.4327409919644863e-05,3.0888937553001717e-07
-5.531062124248497,5.543474593862467e-08,2.5864327505822423e-06,1.398062664764603e-05,1.9395550066331545e-07
-5.498997995991984,5.6153018280457114e-08,2.5219151930330994e-06,1.3592326905905062e-05,1.0200530647737274e-07
-5.46693386773547,6.065278838269723e-08,2.4738213243219744e-06,1.31734145197521e-05,3.756140976866277e-08
-5.434869739478958,6.929333640321285e-08,2.446365831592855e-06,1.273505541987476e-05,4.201926680225927e-09
-5.402805611222445,8.270886108232687e-08,2.4438306352240708e-06,1.2288414147730765e-05,4.407956027635181e-09
-5.370741482965931,1.0175506098869106e-07,2.4707207245694345e-06,1.1844421985031012e-05,3.9454616161798984e-08
-5.33867735470942,1.2743659011774928e-07,2.531955583777613e-06,1.1413587514789078e-05,1.0935065391015252e-07
-5.306613226452906,1.6081959175261345e-07,2.633085973124671e-06,1.1005858235279697e-05,2.1282950757729114e-07
-5.274549098196394,2.0293446423320315e-07,2.7805232575156507e-06,1.0630539236264322e-05,3.4739241359528455e-07
-5.242484969939881,2.546746932791336e-07,2.9817663927982875e-06,1.0296272006669402e-05,5.094018103946379e-07
-5.210420841683367,3.1669795379376845e-07,3.245610257817028e-06,1.0011073366244135e-05,6.942210216696175e-07
-5.1783567134268536,3.893357124945593e-07,3.5823183478308556e-06,9.782431436890275e-06,8.963941066511831e-07
-5.146292585170341,4.725172428340273e-07,4.003743017712893e-06,9.61745265807132e-06,1.1098579462011234e-06
-5.114228456913827,5.657133038838785e-07,4.523377513838572e-06,9.523051273124337e-06,1.3281771881490648e-06
-5.082164328657314,6.679037596053028e-07,5.156325987431802e-06,9.506170618931306e-06,1.544791661215917e-06
-5.050100200400802,7.775721768623824e-07,5.91918046039613e-06,9.574024017630466e-06,1.7532653604910973e-06
-5.018036072144289,8.927289863663597e-07,6.829797289514876e-06,9.734342277055159e-06,1.9475261036295436e-06
-4.985971943887775,1.0109632109259212e-06,7.906969860007775e-06,9.995614700948586e-06,2.1220854944118483e-06
-4.953907815631263,1.129521127162743e-06,9.169998927189155e-06,1.0367311213169597e-05,2.2722298516625365e-06
-4.921843687374749,1.2454086283197655e-06,1.0638166989587494e-05,1.0860074630649536e-05,2.394174237434664e-06
-4.889779559118237,1.355512586146729e-06,1.2330128106555021e-05,1.1485874225668342e-05,2.4851735717454355e-06
-4.857715430861724,1.4567352486066231e-06,1.4263229450589683e-05,1.2258114431391705e-05,2.543586949016e-06
-4.825651302605211,1.5461347460234236e-06,1.6452785358178617e-05,1.3191695699715795e-05,2.568893578700087e-06
-4.793587174348698,1.6210641695171021e-06,1.8911328487937988e-05,1.430302798311437e-05,2.561661132004892e-06
-4.761523046092185,1.6793014850313116e-06,2.164786570945943e-05,1.561000091639024e-05,2.523469566481968e-06
-4.729458917835672,1.719162788162559e-06,2.466716833137464e-05,1.7131918318859082e-05,2.456795605950535e-06
-4.697394789579159,1.7395920915346578e-06,2.7969127105960674e-05,1.8889407980924108e-05,2.364864855377917e-06
-4.6653306613226455,1.7402219640580539e-06,3.154820200551349e-05,2.0904320640582196e-05,2.251479943093592e-06
-4.6332665330661325,1.7214008622652699e-06,3.539299502362594e-05,2.319963450585081e-05,2.1208340212533032e-06
-4.601202404809619,1.6841848620008788e-06,3.948597120950056e-05,2.5799383473622507e-05,1.9773193785874325e-06
-4.569138276553106,1.630293623203893e-06,4.380334888170167e-05,2.8728628330862597e-05,1.8253407987792825e-06
