phi,integrand
-8.0,2.6651673041340796e-07
-7.967935871743487,3.2063456407574366e-07
-7.935871743486974,3.643317152545513e-07
-7.903807615230461,3.953012022487258e-07
-7.871743486973948,4.117826583689072e-07
-7.839679358717436,4.126517044833195e-07
-7.807615230460922,3.9748048771506463e-07
-7.775551102204409,3.6656620094394544e-07
-7.743486973947896,3.2092594077778694e-07
-7.7114228456913825,2.6225778218406637e-07
-7.679358717434869,1.9286963396641578e-07
-7.647294589178357,1.1557894709642689e-07
-7.615230460921844,3.358798901341365e-08
-7.58316633266533,-4.965967081988549e-08
-7.551102204408818,-1.3063451881060304e-07
-7.519038076152305,-2.0588089380217673e-07
-7.486973947895791,-2.721733820900439e-07
-7.454909819639278,-3.2666213106086587e-07
-7.422845691382766,-3.6699980384643327e-07
-7.390781563126253,-3.9144364987130994e-07
-7.358717434869739,-3.9892747628830295e-07
-7.326653306613227,-3.890994981232263e-07
-7.294589178356714,-3.6232394800478664e-07
-7.2625250501002,-3.1964588222366124e-07
-7.2304609218436875,-2.627206144596939e-07
-7.198396793587174,-1.9371099059040152e-07
-7.166332665330662,-1.1515728561026546e-07
-7.134268537074148,-2.982618686667337e-08
-7.102204408817635,5.945366172288958e-08
-7.070140280561122,1.4996116383544457e-07
-7.03807615230461,2.392485009431942e-07
-7.006012024048096,3.2529427195224953e-07
-6.973947895791583,4.0663565042149973e-07
-6.941883767535071,4.824720490385308e-07
-6.909819639278557,5.527340306048745e-07
-6.877755511022044,6.181127917424277e-07
-6.845691382765532,6.80047497324221e-07
-6.813627254509018,7.406697044704516e-07
-6.781563126252505,8.027063613932442e-07
-6.7494989979959925,8.693449487751778e-07
-6.717434869739479,9.440663853894821e-07
-6.6853707414829655,1.0304530838719288e-06
-6.653306613226453,1.1319810519753196e-06
-6.62124248496994,1.251805983805425e-06
-6.589178356713427,1.3925539257490595e-06
-6.557114228456913,1.5561272067441706e-06
-6.525050100200401,1.7435359060078485e-06
-6.492985971943888,1.9547642288388804e-06
-6.460921843687374,2.1886797275657496e-06
-6.428857715430862,2.442991488340158e-06
-6.396793587174349,2.7142612080899116e-06
-6.364729458917835,2.9979686579645855e-06
-6.332665330661323,3.2886304518396504e-06
-6.30060120240481,3.5799684312773922e-06
-6.268537074148296,3.86512152639474e-06
-6.236472945891784,4.136892663100874e-06
-6.2044088176352705,4.388020397300471e-06
-6.1723446893787575,4.611463499531045e-06
-6.140280561122245,4.800685777717268e-06
-6.108216432865731,4.949928075423217e-06
-6.076152304609218,5.054454671666397e-06
-6.044088176352706,5.1107621897471985e-06
-6.012024048096192,5.116740608191492e-06
-5.979959919839679,5.071777989732793e-06
-5.947895791583167,4.976802988970661e-06
-5.915831663326653,4.834262023948697e-06
-5.88376753507014,4.64803098509786e-06
-5.851703406813628,4.4232644502595776e-06
-5.819639278557114,4.166188363191385e-06
-5.787575150300601,3.883844922795945e-06
-5.755511022044089,3.583800826884708e-06
-5.7234468937875755,3.273831940929109e-06
-5.6913827655310625,2.9615988033376584e-06
-5.659318637274549,2.654328007626375e-06
-5.627254509018036,2.358514483425295e-06
-5.595190380761523,2.079658883161334e-06
-5.563126252505009,1.8220528111322772e-06
-5.531062124248497,1.5886224995316092e-06
-5.498997995991984,1.3808388430285289e-06
-5.46693386773547,1.1986985927240214e-06
-5.434869739478958,1.0407781046939314e-06
-5.402805611222445,9.043574995866557e-07
-5.370741482965931,7.856096080456581e-07
-5.33867735470942,6.798448023754471e-07
-5.306613226452906,5.817999289449034e-07
-5.274549098196394,4.859572026778354e-07
-5.242484969939881,3.8687723068304953e-07
-5.210420841683367,2.7952940085867495e-07
-5.1783567134268536,1.596027553018049e-07
-5.146292585170341,2.378120130680209e-08
-5.114228456913827,-1.3003153332623681e-07
-5.082164328657314,-3.0254947131919087e-07
-5.050100200400802,-4.93013763289434e-07
-5.018036072144289,-6.991796286283818e-07
-4.985971943887775,-9.17382718247526e-07
-4.953907815631263,-1.1426826722338924e-06
-4.921843687374749,-1.3690775656203004e-06
-4.889779559118237,-1.5897790627178063e-06
-4.857715430861724,-1.7975346262755713e-06
-4.825651302605211,-1.9849802261440004e-06
-4.793587174348698,-2.1450048157942645e-06
-4.761523046092185,-2.271106505587328e-06
-4.729458917835672,-2.3577199361599188e-06
-4.697394789579159,-2.4004948711539252e-06
-4.6653306613226455,-2.396507468583024e-06
-4.6332665330661325,-2.3443879870951935e-06
-4.601202404809619,-2.2443517255701135e-06
-4.569138276553106,-2.0981236309626316e-06
-4.537074148296593,-1.9087510552757358e-06
-4.50501002004008,-1.6803033862640837e-06
-4.472945891783567,-1.417461502404697e-06
-4.440881763527054,-1.1250039773743078e-06
-4.408817635270541,-8.072004816175328e-07
-4.376753507014029,-4.671256963061323e-07
-4.344689378757515,-1.0590912195223747e-07
-4.312625250501002,2.7806268991923616e-07
-4.280561122244489,6.899747850922085e-07
-4.248496993987976,1.1394274523537401e-06
-4.216432865731464,1.6412807270138083e-06
-4.18436873747495,2.2164881677806372e-06
-4.1523046092184375,2.892911520834231e-06
-4.120240480961924,3.706111510625105e-06
-4.0881763527054105,4.700113789660269e-06
-4.056112224448898,5.928152761142318e-06
-4.024048096192385,7.453399261902411e-06
-3.991983967935872,9.349680672765098e-06
-3.9599198396793587,1.1702203637137278e-05
-3.927855711422846,1.4608289989383705e-05
-3.895791583166333,1.8178135542493998e-05
-3.8637274549098195,2.253559894892657e-05
-3.831663326653307,2.7819023895159627e-05
-3.799599198396794,3.418209247234598e-05
-3.7675350701402808,4.179470082060771e-05
-3.7354709418837677,5.0843840302389006e-05
-3.703406813627255,6.153445883544666e-05
-3.6713426853707416,7.409026799104422e-05
-3.6392785571142285,8.875445248687579e-05
-3.607214428857716,0.00010579023026750545
-3.5751503006012024,0.0001254812039757422
-3.54308617234469,0.00014813143879155173
-3.5110220440881763,0.000174065197830757
-3.4789579158316637,0.0002036262649924681
-3.4468937875751506,0.00023717678667852586
-3.414829659318637,0.00027509556844455433
-3.3827655310621245,0.00031777577052906916
-3.3507014028056115,0.0003656219573596701
-3.3186372745490984,0.00041904647043525934
-3.2865731462925853,0.00047846511116204395
-3.2545090180360727,0.0005442921398757977
-3.2224448897795592,0.0006169346188750925
-3.190380761523046,0.0006967861501668781
-3.1583166332665336,0.0007842200820405736
-3.12625250501002,0.000879582281723121
-3.0941883767535074,0.000983183593375725
-3.062124248496994,0.0010952921207189666
-3.0300601202404813,0.0012161254907984283
-2.9979959919839683,0.0013458432690811317
-2.9659318637274548,0.0014845397055591025
-2.933867735470942,0.0016322369963304901
-2.9018036072144295,0.0017888792448865402
-2.8697394789579156,0.001954327301906151
-2.837675350701403,0.002128354651791572
-2.8056112224448904,0.002310644498724837
-2.7735470941883777,0.0025007881851368415
-2.741482965931864,0.002698285051804747
-2.709418837675351,0.002902543822139515
-2.677354709418838,0.0031128855645427855
-2.6452905811623246,0.0033285482570482193
-2.6132264529058116,0.003548692948920922
-2.581162324649299,0.0037724114855791405
-2.5490981963927863,0.003998735737188119
-2.5170340681362724,0.004226648248528002
-2.48496993987976,0.004455094209074504
-2.452905811623247,0.0046829946282854334
-2.420841683366733,0.004909260592253866
-2.3887775551102206,0.0051328084743105865
-2.356713426853708,0.005352575973686878
-2.3246492985971954,0.005567538862552884
-2.2925851703406814,0.005776728331906584
-2.260521042084169,0.0059792488399215285
-2.2284569138276558,0.006174296381247342
-2.1963927855711423,0.006361177110989298
-2.1643286573146296,0.0065393262711304955
-2.1322645290581166,0.006708327378395053
-2.100200400801604,0.006867931639383486
-2.06813627254509,0.007018077559730154
-2.0360721442885774,0.007158910707691863
-2.004008016032065,0.007290803577880754
-1.9719438877755509,0.007414375477030055
-1.9398797595190382,0.007530512320344212
-1.9078156312625256,0.007640386184199539
-1.8757515030060128,0.007745474409273338
-1.843687374749499,0.007847577988651938
-1.8116232464929862,0.007948838909671081
-1.7795591182364736,0.00805175604825241
-1.74749498997996,0.008159199142850262
-1.715430861723447,0.008274420304754223
-1.6833667334669344,0.008401062455666606
-1.6513026052104216,0.008543164025682646
-1.6192384769539079,0.00870515919864704
-1.587174348697395,0.008891872960935679
-1.5551102204408824,0.009108510197458359
-1.5230460921843687,0.009360638088248517
-1.4909819639278559,0.009654161093125087
-1.4589178356713433,0.009995287872738238
-1.4268537074148304,0.010390489583313536
-1.3947895791583167,0.010846449100262296
-1.362725450901804,0.011370000872309674
-1.3306613226452912,0.011968061281739533
-1.2985971943887775,0.012647549585600501
-1.2665330661322647,0.01341529973410671
-1.234468937875752,0.014277963601864188
-1.2024048096192392,0.015241906419915812
-1.1703406813627255,0.016313095456059433
-1.138276553106213,0.017496983250889876
-1.1062124248497,0.0187983869704425
-1.0741482965931863,0.020221365675699883
-1.0420841683366735,0.02176909752693459
-1.0100200400801609,0.023443759129321486
-0.9779559118236482,0.025246409378163106
-0.9458917835671343,0.027176880270656734
-0.9138276553106216,0.029233677210344422
-0.8817635270541089,0.03141389133515136
-0.849699398797595,0.033713126346304544
-0.8176352705410824,0.0361254422008513
-0.7855711422845697,0.03864331785384557
-0.753507014028057,0.04125763499801901
-0.7214428857715431,0.043957684451036795
-0.6893787575150304,0.046731196487054635
-0.6573146292585177,0.04956439600571652
-0.6252505010020039,0.05244208298499763
-0.5931863727454912,0.05534773818292902
-0.5611222444889785,0.05826365354704373
-0.5290581162324658,0.061171086270268064
-0.49699398797595196,0.06405043490971807
-0.4649298597194393,0.06688143547276788
-0.43286573146292656,0.0696433748854588
-0.4008016032064127,0.07231531880435119
-0.36873747494990006,0.07487635032649462
-0.33667334669338733,0.07730581580474644
-0.3046092184368746,0.07958357369766292
-0.27254509018036077,0.08169024218371923
-0.2404809619238481,0.08360744115616514
-0.20841683366733538,0.08531802419302618
-0.17635270541082157,0.08680629617017355
-0.14428857715430884,0.08805821235536536
-0.11222444889779615,0.08906155508672409
-0.08016032064128345,0.08980608449694902
-0.04809619238476962,0.09028366018897886
-0.016032064128256918,0.09048833129191024
0.016032064128255787,0.09041639291766523
0.04809619238476962,0.09006640768723269
0.08016032064128233,0.0894391916866191
0.11222444889779502,0.08853776493193502
0.14428857715430773,0.08736726715425508
0.17635270541082157,0.085934840441354
0.20841683366733427,0.08424948097817768
0.24048096192384696,0.08232186279421003
0.27254509018036077,0.0801641370375556
0.3046092184368735,0.07778971083740217
0.3366733466933862,0.07521301027478482
0.3687374749498989,0.07244923234423975
0.4008016032064127,0.06951409104608859
0.43286573146292545,0.06642356289322633
0.4649298597194381,0.06319363714243617
0.49699398797595196,0.05984007596630086
0.5290581162324647,0.05637818956840267
0.5611222444889774,0.05282263091530369
0.59318637274549,0.04918721432023607
0.6252505010020039,0.045484761574629926
0.6573146292585166,0.04172697869629541
0.6893787575150293,0.03792436566119463
0.7214428857715431,0.03408616072522282
0.7535070140280559,0.030220320140758927
0.7855711422845686,0.02633353324861966
0.8176352705410812,0.022431272098837877
0.849699398797595,0.018517873943006205
0.8817635270541078,0.014596654166166758
0.9138276553106205,0.01067004650602487
0.9458917835671343,0.006739766759094077
0.977955911823647,0.002806995613024787
1.0100200400801598,-0.0011274242143825657
1.0420841683366724,-0.0050627816947705
1.0741482965931863,-0.008998287456890484
1.106212424849699,-0.01293286548862898
1.1382765531062116,-0.016864952026499687
1.1703406813627255,-0.0207923069230512
1.2024048096192381,-0.024711842494191075
1.234468937875751,-0.028619474440951972
1.2665330661322636,-0.03250999892340711
1.2985971943887775,-0.03637699925065494
1.3306613226452901,-0.04021278495476804
1.3627254509018027,-0.044008365255092954
1.3947895791583167,-0.04775345811061358
1.4268537074148293,-0.05143653522171797
1.4589178356713421,-0.05504490249870331
1.4909819639278548,-0.058564814682927825
1.5230460921843687,-0.06198162200749541
1.5551102204408813,-0.06527994603666867
1.587174348697394,-0.06844388114442798
1.6192384769539079,-0.0714572174985189
1.6513026052104205,-0.07430368092055316
1.6833667334669333,-0.07696718460634815
1.715430861723446,-0.07943208742201466
1.74749498997996,-0.08168345334570176
1.7795591182364725,-0.08370730660466132
1.8116232464929851,-0.08549087716159684
1.843687374749499,-0.08702283142925586
1.8757515030060117,-0.08829348343115996
1.9078156312625245,-0.08929498206976502
1.9398797595190371,-0.09002147069932469
1.9719438877755509,-0.0904692158153118
2.0040080160320635,-0.09063670234976647
2.0360721442885765,-0.09052469378541467
2.06813627254509,-0.09013625605308644
2.100200400801603,-0.08947674493873241
2.1322645290581157,-0.08855375748017202
2.1643286573146283,-0.0873770485622009
2.196392785571141,-0.0859584146054092
2.228456913827655,-0.08431154687400624
2.260521042084169,-0.08245185748787431
2.29258517034068,-0.08039628170278001
2.324649298597194,-0.07816306041127354
2.356713426853708,-0.07577150710885912
2.3887775551102193,-0.07324176376165445
2.420841683366733,-0.07059455010167953
2.452905811623245,-0.06785091086539322
2.484969939879759,-0.06503196538377812
2.5170340681362724,-0.06215866373415948
2.549098196392784,-0.059251553382930346
2.581162324649298,-0.05633055989422067
2.6132264529058116,-0.0534147848634129
2.6452905811623233,-0.05052232376850494
2.6773547094188372,-0.04767010592965351
2.709418837675351,-0.04487375824108758
2.7414829659318625,-0.04214749380329689
2.7735470941883764,-0.0395040260499478
2.8056112224448904,-0.03695450844561599
2.8376753507014016,-0.03450849933846691
2.8697394789579156,-0.03217395109652981
2.9018036072144273,-0.029957222245826472
2.9338677354709413,-0.02786311097035108
2.9659318637274548,-0.025894908033093703
2.9979959919839665,-0.024054466937497954
3.0300601202404804,-0.02234228897174935
3.062124248496994,-0.020757620664200754
3.0941883767535057,-0.0192985611254995
3.1262525050100196,-0.017962176758601157
3.1583166332665336,-0.016744620877493815
3.190380761523045,-0.01564125588369081
3.222444889779559,-0.014646775800061162
3.2545090180360727,-0.013755327147369932
3.286573146292584,-0.012960626362610554
3.318637274549098,-0.01225607219225964
3.3507014028056097,-0.01163485174044166
3.3827655310621236,-0.01109003910439761
3.414829659318637,-0.010614685780795424
3.446893787575149,-0.010201902270101405
3.478957915831663,-0.009844930536985558
3.5110220440881763,-0.009537207197969409
3.543086172344688,-0.00927241749953462
3.575150300601202,-0.009044540317964499
3.607214428857716,-0.00884788455449949
3.639278557114227,-0.008677117415080742
3.671342685370741,-0.008527285153055937
3.703406813627255,-0.008393826916509086
3.7354709418837664,-0.008272582380859293
3.7675350701402803,-0.008159793864113214
3.799599198396792,-0.008052103619186348
3.8316633266533056,-0.007946546977886644
3.8637274549098195,-0.007840541987545212
3.8957915831663312,-0.007731876137008733
3.927855711422845,-0.007618690716899412
3.9599198396793587,-0.007499463302633127
3.9919839679358704,-0.0073729887904140454
4.024048096192384,-0.007238359358695436
4.056112224448898,-0.007094943672497506
4.08817635270541,-0.0069423655971336765
4.1202404809619235,-0.006780482642589694
4.1523046092184375,-0.00660936432084752
4.184368737474949,-0.006429270566242559
4.216432865731463,-0.006240630343589371
4.248496993987974,-0.006044020549973025
4.280561122244488,-0.005840145303236122
4.312625250501002,-0.005629815702493571
4.344689378757513,-0.005413930142527203
4.376753507014027,-0.005193455263569686
4.408817635270541,-0.0049694076196973025
4.440881763527052,-0.0047428361516897895
4.472945891783566,-0.004514805552825584
4.50501002004008,-0.0042863806176486035
4.537074148296592,-0.0040586116636088885
4.5691382765531054,-0.0038325211129522753
4.601202404809619,-0.0036090913170034314
4.633266533066132,-0.003389253696723618
4.6653306613226455,-0.003173879262222264
4.697394789579157,-0.0029637705598576595
4.729458917835671,-0.002759655078989258
4.761523046092185,-0.002562180131854636
4.793587174348696,-0.002371909199960515
4.82565130260521,-0.0021893197194682995
4.857715430861724,-0.0020148022569863692
4.889779559118235,-0.001848661006700927
4.921843687374749,-0.0016911155204782132
4.953907815631263,-0.0015423035651915226
4.985971943887774,-0.0014022849864679234
5.018036072144288,-0.0012710464459171355
5.050100200400802,-0.001148506889937666
5.0821643286573135,-0.0010345236026062159
5.114228456913827,-0.0009288986931085728
5.146292585170339,-0.0008313858695770519
5.178356713426853,-0.0007416973558731576
5.210420841683367,-0.0006595108156484671
5.242484969939878,-0.0005844761584475348
5.274549098196392,-0.0005162221153684703
5.306613226452906,-0.00045436248628263166
5.338677354709417,-0.00039850197645992946
5.370741482965931,-0.0003482415569291187
5.402805611222445,-0.0003031832997364354
5.434869739478957,-0.00026293465571360834
5.46693386773547,-0.00022711215816015486
5.498997995991984,-0.0001953445505221265
5.531062124248496,-0.00016727534930928114
5.563126252505009,-0.0001425648650331737
5.5951903807615215,-0.00012089171352345464
5.6272545090180355,-0.00010195385760940448
5.659318637274549,-8.54692247867438e-05
5.691382765531061,-7.117595005861206e-05
5.723446893787575,-5.8832295051239905e-05
5.755511022044089,-4.8216294434787824e-05
5.7875751503006,-3.912517943786689e-05
5.819639278557114,-3.137462548834577e-05
5.851703406813628,-2.479786744400639e-05
5.883767535070139,-1.9244721433895934e-05
5.915831663326653,-1.4580547553110847e-05
5.947895791583167,-1.0685182515419084e-05
5.979959919839678,-7.45186630017553e-06
6.012024048096192,-4.786181960076841e-06
6.0440881763527035,-2.6050231407890096e-06
6.076152304609217,-8.355998640512235e-07
6.108216432865731,5.855104701591285e-07
6.140280561122243,1.7132628088461327e-06
6.172344689378757,2.5949930737091295e-06
6.2044088176352705,3.2712156855560824e-06
6.236472945891782,3.776370988260136e-06
6.268537074148296,4.139524344722001e-06
6.30060120240481,4.385018788972581e-06
6.332665330661321,4.533083144192449e-06
6.364729458917835,4.6003971119985115e-06
6.396793587174349,4.600614487743192e-06
6.428857715430861,4.544845041176445e-06
6.460921843687374,4.442095306779952e-06
6.492985971943886,4.299667957477831e-06
6.5250501002004,4.123519407675972e-06
6.557114228456913,3.918575087648589e-06
6.589178356713425,3.689001992498449e-06
6.621242484969939,3.4384384435588234e-06
6.653306613226453,3.170181421279384e-06
6.685370741482965,2.8873324807285148e-06
6.717434869739479,2.5929039049759445e-06
6.7494989979959925,2.289887531667709e-06
6.781563126252504,1.9812894728014146e-06
6.813627254509018,1.6701346316943687e-06
6.845691382765532,1.3594455390111552e-06
6.877755511022043,1.0522005514387854e-06
6.909819639278557,7.512768680464321e-07
6.941883767535068,4.5938381257049865e-07
6.973947895791582,1.7899195247989195e-07
7.006012024048096,-8.773664044953177e-08
7.038076152304607,-3.390121914722233e-07
7.070140280561121,-5.73470758541006e-07
7.102204408817635,-7.902140537098565e-07
7.1342685370741465,-9.88832812414476e-07
7.1663326653306605,-1.1694120681801035e-06
7.198396793587174,-1.332517530598817e-06
7.230460921843686,-1.4791632901202634e-06
7.2625250501002,-1.6107620413075028e-06
7.294589178356714,-1.7290597088670266e-06
7.326653306613226,-1.836057252612492e-06
7.358717434869739,-1.93392288886666e-06
7.390781563126251,-2.0248983722665133e-06
7.422845691382765,-2.1112032917096255e-06
7.454909819639278,-2.1949413025375695e-06
7.48697394789579,-2.278012112298287e-06
7.519038076152304,-2.3620328173757823e-06
7.551102204408818,-2.448271540856371e-06
7.583166332665329,-2.537596059207418e-06
7.615230460921843,-2.6304392217085275e-06
