"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,4175946181.78966,4969592203.44633,8803539198.31999,10427668076.1495,10771525580.4157,11790550902.3436,12118137277.061
4,4611738807.63704,6143267512.97181,9321232694.04001,11441456168.1505,11611576009.2817,12479093475.1624,12724960340.7207
6,4668437430.93326,6572020198.52441,9451761705.75327,11481867681.3458,11517488944.5021,11719678650.9513,12520581173.8355
8,4633473096.77912,6789411370.68532,9463262991.13316,11340228981.031,11528902476.1498,11831909960.6702,12501689591.1288
10,4606521017.05543,6956973322.97553,9479435966.71169,11242882999.1504,11542612819.7617,11915945480.4703,12488518619.0552
12,4574046739.58933,7080877749.7369,9474171946.50244,11150002178.5124,11544247450.4864,11974321124.1545,12469089125.8402
14,4605982949.76949,7241500605.425,9536580445.39869,11138530840.6524,11596330105.5728,12061077494.8315,12494903707.5081
16,4544428287.26709,7295709430.28212,9489372387.61967,11039228928.8803,11572412256.7444,12082803348.8047,12460456500.9847
18,4556281857.44344,7402751696.71375,9517217185.24407,11008427802.7921,11590336843.537,12124178042.3599,12464493526.7016
20,4516676247.79823,7450542414.56065,9487355879.24858,10943128755.0997,11570594923.843,12132888802.9806,12438960192.4643
