"capacitor_length [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []"
1,10446944386.7356,12586011469.4674,13165866391.1757,13402100292.3177,13522355523.7645,13591749827.6892
4.22222222222222,10269354452.0816,12520596882.2567,13132727322.8433,13384074900.0398,13510254114.0432,13584168256.0241
7.44444444444444,10045771160.8106,12437990068.538,13099640392.0109,13370512345.4548,13503922096.2772,13581723811.2354
10.6666666666667,9912710936.99027,12404018704.8627,13090762923.2071,13366636041.723,13500655175.8861,13578849794.1726
13.8888888888889,9723812394.86345,12361616630.4949,13078736208.6905,13361383752.8866,13497207186.1912,13499394657.1187
17.1111111111111,9631230002.56298,12350077753.774,13078439469.2497,13363707621.0578,13501698652.3736,13580665169.2944
20.3333333333333,9464955220.65792,12307771819.7788,13063304450.1787,13354210046.9349,13497028931.6445,13577119187.7592
23.5555555555556,9378779586.33637,12302726235.7193,13066220714.3246,13357909557.3309,13499496705.125,13579878944.8237
26.7777777777778,9294764898.73211,12281018990.825,13059492792.1044,13355472342.1125,13498364187.8439,13579187013.7432
30,9199440424.92505,12270494756.9086,13056187904.3957,13354192566.7332,13498010148.487,13579859456.1011
