"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,10570182427.5796,11671773996.5432,13098687917.1256,13486513784.0822,13500251869.9956,13524646597.1276,13650900499.6513
4,10754059404.5605,12335147247.8249,13179856234.5886,13473199988.2756,13546728966.8505,13591448969.6344,13660182595.2979
6,10681789484.0569,12514404772.67,13179019927.0758,13435201202.9059,13550828820.3489,13611327101.5571,13654389926.6441
8,10604136250.9442,12612753900.0671,13170064073.0243,13405754931.0802,13553232280.7967,13621766917.1442,13651495116.4352
10,10514294914.851,12667484679.6864,13150178922.3083,13375143325.9666,13548515835.9692,13622754183.8814,13644146992.8913
12,10436402303.2025,12709797918.1144,13134044462.1605,13351318217.8057,13547404591.3345,13625875986.5805,13642086853.5701
14,10366914531.1991,12741879842.1918,13118876545.6169,13330273605.0193,13547698133.9918,13629064108.3481,13641481370.3472
16,10280366953.9359,12759057639.2648,13095935001.4713,13304698255.5239,13538686653.0683,13558736152.8312,13617945048.333
18,10212290996.9951,12781320311.3821,13081549697.2096,13287784749.6612,13541258079.1181,13627062617.7683,13635116129.4768
20,10142604827.8878,12796541555.3477,13067226145.5751,13271699276.3721,13539202035.8882,13586350208.321,13601542747.5912
