El,r,Fidelidad
10000000.0,0.01,(0.6180227599111878+2.1787674681518248e-05j)
10000000.0,0.03,(0.6067655607234819+4.2977374069371165e-06j)
10000000.0,0.05,(0.5833929822279109+2.5374803528273345e-06j)
10000000.0,0.06999999999999999,(0.5460683208600978+1.3003445425579892e-06j)
10000000.0,0.09,(0.49279324418457+5.620931448009605e-06j)
10000000.0,0.11,(0.4245463496316805+8.176778657265633e-06j)
10000000.0,0.13,(0.34974774337118664+2.948069120829848e-06j)
10000000.0,0.15000000000000002,(0.2810069474009126+2.668607093174989e-06j)
10000000.0,0.17,(0.2256445674627649+4.075753653202056e-06j)
10000000.0,0.19,(0.1837461694691984+1.2488935532953877e-06j)
10000000.0,0.21000000000000002,(0.15235723953287753-8.299552522140218e-07j)
10000000.0,0.23,(0.12844515762073294+7.687252208835429e-07j)
10000000.0,0.25,(0.10978065140927863+5.387847696307342e-07j)
10000000.0,0.27,(0.09483409573684005+2.246764511148388e-08j)
10000000.0,0.29000000000000004,(0.08259179464157683+1.5713487349853857e-06j)
10000000.0,0.31,(0.07237935168323256-5.326625321388342e-08j)
10000000.0,0.33,(0.06372403794879627-2.2689844875126374e-06j)
10000000.0,0.35000000000000003,(0.05630039350264183+1.420261914902022e-06j)
10000000.0,0.37,(0.04986316710871694-4.4181058816908e-07j)
10000000.0,0.39,(0.04423669403406139-9.96830610144607e-07j)
10000000.0,0.41000000000000003,(0.03928569248409253-3.0370201829448645e-06j)
10000000.0,0.43,(0.04303366488295784+9.44221503816116e-07j)
10000000.0,0.45,(0.050243074064477+5.349524388856272e-07j)
10000000.0,0.47000000000000003,(0.05926077877121718-8.231052071967126e-07j)
10000000.0,0.49,(0.07038814231726458+9.423292699529725e-07j)
10000000.0,0.51,(0.08394703768960024+1.5225449196676657e-06j)
10000000.0,0.53,(0.10025190218389639-3.3834009190787865e-06j)
10000000.0,0.55,(0.11956640783111355+2.7970615205479478e-06j)
10000000.0,0.5700000000000001,(0.14208223838197165+7.823373059732862e-07j)
10000000.0,0.59,(0.16783091485457544-6.226976219452423e-06j)
10000000.0,0.61,(0.19664382599947272+1.1119933658470288e-06j)
10000000.0,0.63,(0.22806766172451695-7.800978877572461e-07j)
10000000.0,0.65,(0.26128979443687955-4.128230960206953e-06j)
10000000.0,0.67,(0.29513148013710055+4.764690302885265e-06j)
10000000.0,0.6900000000000001,(0.3279990802280881+3.661941002541089e-06j)
10000000.0,0.7100000000000001,(0.3579409887705697-8.999119000396276e-06j)
10000000.0,0.73,(0.38273243231129356-8.717414079509301e-07j)
10000000.0,0.75,(0.4000404011914454+3.3629307336381627e-06j)
10000000.0,0.77,(0.4076731049430515-3.8280649059531725e-07j)
10000000.0,0.79,(0.40383977209129085-3.4440292741904245e-06j)
10000000.0,0.81,(0.387433154791275+4.255453597501904e-06j)
10000000.0,0.8300000000000001,(0.35832593833584775-1.6738683920016431e-06j)
10000000.0,0.85,(0.3175467402275308+9.870431342656569e-07j)
10000000.0,0.87,(0.2673814288490643-6.0185103270021345e-06j)
10000000.0,0.89,(0.21128352035387807-5.0928729398505144e-06j)
10000000.0,0.91,(0.15362672116588463+1.280482671325676e-06j)
10000000.0,0.93,(0.09932578160235957+3.413548732115177e-06j)
10000000.0,0.9500000000000001,(0.05327820080397268+2.3225387452456294e-06j)
10000000.0,0.97,(0.019836897293853382-9.511982914440228e-07j)
10000000.0,0.99,(0.002242882291771444-1.3560348550901064e-07j)
11898416.954165636,0.01,(0.6112381639573178-8.478654348429264e-06j)
11898416.954165636,0.03,(0.5992762892445622+4.958503262811651e-06j)
11898416.954165636,0.05,(0.5743670787656842+1.4171967802915963e-06j)
11898416.954165636,0.06999999999999999,(0.5346891844409237+9.86539313522219e-07j)
11898416.954165636,0.09,(0.47914469015175293+5.112930325418189e-07j)
11898416.954165636,0.11,(0.4110648576574667+2.702414414290174e-08j)
11898416.954165636,0.13,(0.3401637802201221+2.701421543898294e-06j)
11898416.954165636,0.15000000000000002,(0.27701363380130334+2.0860089020509777e-06j)
11898416.954165636,0.17,(0.22624403226696338+3.0507624178796954e-06j)
11898416.954165636,0.19,(0.18718741618935006-5.0300593508862e-07j)
11898416.954165636,0.21000000000000002,(0.15725382446451164-2.26270584629691e-06j)
11898416.954165636,0.23,(0.1339520410578891+2.8659938782414296e-06j)
11898416.954165636,0.25,(0.1154034240180357+2.7360911200712273e-06j)
11898416.954165636,0.27,(0.10032200847972352-8.522927854147986e-10j)
11898416.954165636,0.29000000000000004,(0.0878125545721086+2.3132459233993633e-06j)
11898416.954165636,0.31,(0.07726812984030258+8.933332659119946e-07j)
11898416.954165636,0.33,(0.0682556774919301-3.0030426744183174e-07j)
11898416.954165636,0.35000000000000003,(0.0604737388621723+4.918873678731139e-07j)
11898416.954165636,0.37,(0.05368263489962025-3.262359063007518e-07j)
11898416.954165636,0.39,(0.049277819110541674-2.1312961768473505e-06j)
11898416.954165636,0.41000000000000003,(0.05502007507211485+5.328610920657933e-07j)
11898416.954165636,0.43,(0.062343569887358674+4.950462684193899e-07j)
11898416.954165636,0.45,(0.0714533605403513+9.299384672101865e-07j)
11898416.954165636,0.47000000000000003,(0.08258833244814506+3.8343373111940186e-07j)
11898416.954165636,0.49,(0.09599994346955153+1.70503241976361e-06j)
11898416.954165636,0.51,(0.11193274858035071-2.650764835552259e-06j)
11898416.954165636,0.53,(0.1305915295392984+1.8504540843091537e-06j)
11898416.954165636,0.55,(0.1521102717152228-3.143667410638692e-07j)
11898416.954165636,0.5700000000000001,(0.1765037760562472+7.753262782753682e-07j)
11898416.954165636,0.59,(0.20360407091446206+3.2224140017600657e-06j)
11898416.954165636,0.61,(0.2330449749111594+7.468386546145905e-07j)
11898416.954165636,0.63,(0.2641500130597451-2.959601011506108e-07j)
11898416.954165636,0.65,(0.29595227901391796-1.0985359054362805e-06j)
11898416.954165636,0.67,(0.3271482245340382+3.981279569167697e-07j)
11898416.954165636,0.6900000000000001,(0.3561211136134377+9.131630858644302e-07j)
11898416.954165636,0.7100000000000001,(0.3810114356970905+4.7459739910122135e-06j)
11898416.954165636,0.73,(0.39981571111308173+2.573856034787873e-06j)
11898416.954165636,0.75,(0.4105652209591259+3.4906959628858112e-06j)
11898416.954165636,0.77,(0.4115223640194122-4.1428558148577657e-07j)
11898416.954165636,0.79,(0.4014233776444923+3.233493671191358e-06j)
11898416.954165636,0.81,(0.37970230182798903-9.857931145748711e-06j)
11898416.954165636,0.8300000000000001,(0.3466825619417482+5.888787548140725e-06j)
11898416.954165636,0.85,(0.30369544369502227-7.0769903013735225e-06j)
11898416.954165636,0.87,(0.25312427733349324+3.7256418040795868e-06j)
11898416.954165636,0.89,(0.19825979183822787-6.937816620698247e-07j)
11898416.954165636,0.91,(0.14309711509818268+1.7464010205149016e-06j)
11898416.954165636,0.93,(0.09196752580384362+4.593031158332921e-06j)
11898416.954165636,0.9500000000000001,(0.04911240306826023+6.204005617309776e-06j)
11898416.954165636,0.97,(0.018228341576550094+1.3082818983832858e-06j)
11898416.954165636,0.99,(0.002058289743992078+7.371688758033467e-07j)
14157232.601517623,0.01,(0.604509272927994-1.4617717327575024e-05j)
14157232.601517623,0.03,(0.5915305538956023+9.241048819752096e-06j)
14157232.601517623,0.05,(0.5645959686391083+1.6504178320296894e-06j)
14157232.601517623,0.06999999999999999,(0.5223422260254896+2.758652429345493e-06j)
14157232.601517623,0.09,(0.4653798233366192+3.2809287190617605e-06j)
14157232.601517623,0.11,(0.399224579688903+7.95552043009414e-06j)
14157232.601517623,0.13,(0.3334670381837556+6.526752287521163e-06j)
14157232.601517623,0.15000000000000002,(0.275928353838459+2.926850365937142e-06j)
14157232.601517623,0.17,(0.22927809827085033+6.7535793325770505e-06j)
14157232.601517623,0.19,(0.19259390837413237+2.393341300434853e-06j)
14157232.601517623,0.21000000000000002,(0.16376943177583086+3.141902690025719e-06j)
14157232.601517623,0.23,(0.1408100572058143+2.0718261315659114e-06j)
14157232.601517623,0.25,(0.1221908887718777-2.116232486756835e-06j)
14157232.601517623,0.27,(0.10682129667092563+1.0520483027919495e-06j)
14157232.601517623,0.29000000000000004,(0.09391366985900018+2.1305704276110012e-07j)
14157232.601517623,0.31,(0.08292418287345357+1.8808862800622047e-06j)
14157232.601517623,0.33,(0.07346186919172111-6.606475004179994e-07j)
14157232.601517623,0.35000000000000003,(0.06523507709406608-5.270366993052601e-07j)
14157232.601517623,0.37,(0.06585792768115827+8.072883446309108e-07j)
14157232.601517623,0.39,(0.07132299539303391+9.310152897490445e-07j)
14157232.601517623,0.41000000000000003,(0.07845040049101679-7.43775698067983e-07j)
14157232.601517623,0.43,(0.08737567537512554+2.6669866591142707e-06j)
14157232.601517623,0.45,(0.09827857942381273-2.558324154110909e-07j)
14157232.601517623,0.47000000000000003,(0.11133726967720148+1.8685080201842064e-07j)
14157232.601517623,0.49,(0.12673109171702274+5.299601534400281e-07j)
14157232.601517623,0.51,(0.1446126226899004+3.916033968327622e-07j)
14157232.601517623,0.53,(0.1650597390224008+3.456973391287853e-06j)
14157232.601517623,0.55,(0.18805724785260744+8.346211079630615e-07j)
