# El	 r	 dHdphi_overDelta_square_elements_list	 d2f01dphi2_abs_list	 dHdr_overDelta_square_matrix_elements_list	 df01dr_abs 
10000000.0	0.01	1.075977015162049e-08	1088761.6517547746	5.1836610308532674e-06	413980281.7959721
10000000.0	0.03	2.1600117198823417e-07	1344599.0488106275	0.00028796989474601725	4676367646.512703
10000000.0	0.05	8.343983184240516e-07	1184384.5712650074	0.00041984607661392433	6554320667.251295
10000000.0	0.06999999999999999	1.4982900461931472e-06	887133.8281806497	0.0003631507553036708	6566903995.690374
10000000.0	0.09	2.048758704786403e-06	668137.7127159411	0.00029369068514530913	5904057342.515455
10000000.0	0.11	2.4964238632978496e-06	517216.49117960787	0.00024163350454302633	5267857812.611696
10000000.0	0.13	2.866316577426978e-06	409693.25991572	0.00020313515992748248	4711601833.958642
10000000.0	0.15000000000000002	3.1773960793604012e-06	330237.03886653687	0.00017390456799008772	4246646808.2872343
10000000.0	0.17	3.442937070091078e-06	269620.17290098325	0.00015149372581833997	3855373988.3094788
10000000.0	0.19	3.672328540609456e-06	222158.23864223328	0.0001334914251237304	3522413686.7550054
10000000.0	0.21000000000000002	3.872449509904786e-06	184333.94576770844	0.0001183149841903424	3234148007.871179
10000000.0	0.23	4.048470477256489e-06	153773.94000777256	0.0001056154415697641	2982723880.82491
10000000.0	0.25	4.204307387467483e-06	128751.39458446005	9.491932522984565e-05	2761673604.5282683
10000000.0	0.27	4.343030522981695e-06	108067.82722821092	8.542861290824534e-05	2563862784.6797953
10000000.0	0.29000000000000004	4.46714142104847e-06	90880.71941768492	7.693092608776843e-05	2385204943.8516126
10000000.0	0.31	4.578649044588721e-06	76517.22152063255	6.950124662213002e-05	2224102001.8549056
10000000.0	0.33	4.679163441546903e-06	64444.86203007478	6.286727028383033e-05	2077324520.3912942
10000000.0	0.35000000000000003	4.770036950221059e-06	54270.361488743576	5.6791837113985754e-05	1941646163.8596451
10000000.0	0.37	4.852409012726067e-06	45680.21323691029	5.130218805877872e-05	1816229556.9071012
10000000.0	0.39	4.927216691225961e-06	38410.922314201765	4.634381496254062e-05	1699976143.0090253
10000000.0	0.41000000000000003	4.995243987737613e-06	32252.506861130336	4.17966397916826e-05	1590763930.5925772
10000000.0	0.43	5.057153792856378e-06	27034.434331474866	3.764195322234677e-05	1487711803.7624412
10000000.0	0.45	5.113509254875913e-06	22612.47257724303	3.385316670671724e-05	1390510937.2941408
10000000.0	0.47000000000000003	5.164790643056406e-06	18866.870065270665	3.0382043873729416e-05	1298123568.8062882
10000000.0	0.49	5.2113929963013245e-06	15696.688883760758	2.7215009158279423e-05	1209820782.7180603
10000000.0	0.51	5.253655789716962e-06	13016.081098137018	2.4324359306662883e-05	1125448255.5045044
10000000.0	0.53	5.291891907253461e-06	10753.04293125817	2.1685303603538207e-05	1044781867.66191
10000000.0	0.55	5.326374262827825e-06	8845.72910477898	1.9287996183693147e-05	967698022.851451
10000000.0	0.5700000000000001	5.357359875246596e-06	7241.485930395066	1.7104402489224747e-05	894280869.3809572
10000000.0	0.59	5.385111805335394e-06	5895.783254317032	1.512418023593633e-05	824684481.7309377
10000000.0	0.61	5.409868853253597e-06	4769.720013252131	1.3340714869005918e-05	759116463.4662683
10000000.0	0.63	5.431878339887659e-06	3830.385539650293	1.1725050485583008e-05	697886601.1015635
10000000.0	0.65	5.45142515370504e-06	3049.9848585989707	1.0269845765856402e-05	641276458.2766515
10000000.0	0.67	5.468768167957981e-06	2404.4504250844466	8.960299680349328e-06	589160074.1559321
10000000.0	0.6900000000000001	5.484159310221328e-06	1873.8217707830015	7.775588907948607e-06	541731632.0373306
10000000.0	0.7100000000000001	5.497890787620877e-06	1440.246381685475	6.7285440225188245e-06	499447018.4152244
10000000.0	0.73	5.51021855322623e-06	1088.3415430474163	5.7813256576664364e-06	460959324.534588
10000000.0	0.75	5.521352333683542e-06	807.0240379727686	4.898838160938013e-06	425234649.9711256
10000000.0	0.77	5.531496629870667e-06	585.1512780251292	4.141180803725924e-06	393711717.3545126
10000000.0	0.79	5.5407923869289915e-06	411.4221903253502	3.47844246235709e-06	364573046.46279645
10000000.0	0.81	5.549336405431546e-06	279.2174108440196	2.8235240620042745e-06	333989464.11149937
10000000.0	0.8300000000000001	5.557208934262669e-06	182.3946021873022	2.2546801242334182e-06	304275664.2252985
10000000.0	0.85	5.5643773500828295e-06	112.52232509681103	1.8032690222371246e-06	276192257.49301624
10000000.0	0.87	5.5707657991304255e-06	64.13149441696969	1.3597855282845661e-06	243711708.77467087
10000000.0	0.89	5.576361784317713e-06	33.53306945372538	9.556815791790412e-07	207771558.85063595
10000000.0	0.91	5.58108851718548e-06	15.459295485507921	6.597222974070145e-07	173453891.65042114
10000000.0	0.93	5.584816994182635e-06	5.682645408322624	4.108825286922513e-07	136433961.3259378
10000000.0	0.9500000000000001	5.58752782425521e-06	1.479891102312022	2.022800329161854e-07	95443545.02672292
10000000.0	0.97	5.589265036103842e-06	0.20427062493010464	7.337482261186168e-08	56090689.13739203
10000000.0	0.99	5.590076482171579e-06	0.002791166183067336	8.898890000718954e-09	20315975.433674037
11898416.954165636	0.01	4.427270578473165e-08	1677963.5798855356	4.098710006742541e-05	2165942384.092337
11898416.954165636	0.03	2.971398781409862e-07	6031335.824526221	0.0019101218412538152	5056002128.073309
11898416.954165636	0.05	1.066505918875088e-06	3418601.933488243	0.0024406090449101987	6590676409.969333
11898416.954165636	0.06999999999999999	1.9043125965154368e-06	1887080.84765823	0.0015915647405509684	6792179067.9444275
11898416.954165636	0.09	2.5853760991743936e-06	1150129.609742103	0.0010033116665791677	6282759539.444369
11898416.954165636	0.11	3.1321165253437943e-06	760368.9444689744	0.000669759366043327	5712633109.601043
11898416.954165636	0.13	3.5825801469701056e-06	532433.9238344044	0.0004739111327983956	5169194329.908544
11898416.954165636	0.15000000000000002	3.962963142163442e-06	388458.4305043828	0.0003516463641735065	4688272149.783648
11898416.954165636	0.17	4.290409311993698e-06	292072.8027627323	0.00027129116667476975	4266968040.9684715
11898416.954165636	0.19	4.576432226268393e-06	224571.56048139386	0.00021587357539546332	3898479326.330707
11898416.954165636	0.21000000000000002	4.829065512950377e-06	175643.8449665207	0.0001757263028786316	3573092934.3304114
11898416.954165636	0.23	5.054167335918471e-06	139236.58333504235	0.0001456398588335123	3284020985.8803434
11898416.954165636	0.25	5.256149972759166e-06	111552.34077938524	0.0001226355048498561	3026641656.6056223
11898416.954165636	0.27	5.4383953510983796e-06	90113.42493185979	0.00010455088327248734	2795686538.1442475
