phi,wfunc0_up_sqr,wfunc0_down_sqr,wfunc1_up_sqr,wfunc1_down_sqr
-8.0,3.8981169705756297e-07,4.6256026650436814e-07,1.140167039813388e-06,9.214756857644204e-07
-7.967935871743487,3.8343581088004907e-07,5.434526923158462e-07,1.3473450387387566e-06,9.228071194488965e-07
-7.935871743486974,3.726295161398666e-07,6.181329985379587e-07,1.5579714537442824e-06,9.193403925854269e-07
-7.903807615230461,3.5795014900117643e-07,6.832493165036221e-07,1.7670949447336356e-06,9.112969079881464e-07
-7.871743486973948,3.400653621670025e-07,7.358606451533657e-07,1.969740396956899e-06,8.989762308631277e-07
-7.839679358717436,3.197198400046968e-07,7.735774526583745e-07,2.161103652328513e-06,8.82746893712418e-07
-7.807615230460922,2.976998546771864e-07,7.946773234835757e-07,2.3367388532719126e-06,8.630356151124351e-07
-7.775551102204409,2.7479776479200046e-07,7.981897812712361e-07,2.4927300889188187e-06,8.403153078813358e-07
-7.743486973947896,2.5177878216647726e-07,7.839457784462495e-07,2.625839099429647e-06,8.150923869347923e-07
-7.7114228456913825,2.2935214039082146e-07,7.525889332073595e-07,2.7336224258938543e-06,7.878938127766756e-07
-7.679358717434869,2.0814878256378158e-07,7.055474328331713e-07,2.8145129370941796e-06,7.592543710014075e-07
-7.647294589178357,1.8870731132955086e-07,6.449674159734994e-07,2.867862526752389e-06,7.297046199107107e-07
-7.615230460921844,1.714696750810423e-07,5.736106561139155e-07,2.8939446260717236e-06,6.99759938378677e-07
-7.58316633266533,1.5678750056305155e-07,4.947208849681929e-07,2.893917759058059e-06,6.699110077389309e-07
-7.551102204408818,1.4493949558626924e-07,4.1186502838784036e-07,2.8697529818402453e-06,6.40616016340463e-07
-7.519038076152305,1.3615975313760116e-07,3.2875691036465446e-07,2.824131097245948e-06,6.12294791811046e-07
-7.486973947895791,1.306761074607878e-07,2.490717687444757e-07,2.760315381739732e-06,5.853249519915121e-07
-7.454909819639278,1.2875715004769805e-07,1.7626098036773975e-07,2.6820094541489674e-06,5.600401088788467e-07
-7.422845691382766,1.3076584842891562e-07,1.1337614068352852e-07,2.593208537607749e-06,5.367300310207783e-07
-7.390781563126253,1.372172661278143e-07,6.291174422634297e-08,2.4980543875916513e-06,5.156426334325299e-07
-7.358717434869739,1.488373778460475e-07,2.6674782911148397e-08,2.400703492835016e-06,4.969875426974019e-07
-7.326653306613227,1.6661970468793462e-07,5.688478260151589e-09,2.305216931369195e-06,4.809409630266142e-07
-7.294589178356714,1.918763152396868e-07,1.3591928980465719e-10,2.215480430645625e-06,4.6765151730384997e-07
-7.2625250501002,2.2627969551520188e-07,9.347402722953569e-09,2.135159844412016e-06,4.572467060575762e-07
-7.2304609218436875,2.718921698918545e-07,3.183327608383991e-08,2.067696340667683e-06,4.498396476762174e-07
-7.198396793587174,3.311798312281666e-07,6.536179279510019e-08,2.01634259204647e-06,4.4553575804632357e-07
-7.166332665330662,4.070084493719781e-07,1.0707926799227169e-07,1.9842384316759308e-06,4.444390913467393e-07
-7.134268537074148,5.026194186077746e-07,1.5366755625500406e-07,1.9745222946569707e-06,4.4665810096134655e-07
-7.102204408817635,6.215845746494314e-07,2.0153192385683825e-07,1.9904716440878224e-06,4.523106599815515e-07
-7.070140280561122,7.677395608584245e-07,2.4701060288619525e-07,2.0356633683539826e-06,4.61528262529075e-07
-7.03807615230461,9.45096337411746e-07,2.8659597263702477e-07,2.114143141534567e-06,4.744594087431255e-07
-7.006012024048096,1.157736404696896e-06,3.171564159869027e-07,2.230591378722333e-06,4.912722779063257e-07
-6.973947895791583,1.4096872037926321e-06,3.361475001308331e-07,2.390472333058271e-06,5.121568660453196e-07
-6.941883767535071,1.7047851436535102e-06,3.418012600949987e-07,2.6001529857623683e-06,5.373268701390876e-07
-6.909819639278557,2.0465293768593806e-06,3.3328313939073866e-07,2.866978817751536e-06,5.670216439464554e-07
-6.877755511022044,2.437931245868968e-06,3.1080725791835653e-07,3.199295162523367e-06,6.015086387583865e-07
-6.845691382765532,2.8813647318844978e-06,2.7570257673979396e-07,3.606404517227695e-06,6.410867693748208e-07
-6.813627254509018,3.378423590882868e-06,2.3042451153917173e-07,4.098453560244772e-06,6.860911875372817e-07
-6.781563126252505,3.9297909354454765e-06,1.78509161708437e-07,4.686246327833673e-06,7.368999615513486e-07
-6.7494989979959925,4.53512687108979e-06,1.244699384547753e-07,5.38098425637426e-06,7.939431700466546e-07
-6.717434869739479,5.192979461107987e-06,7.363922669693735e-08,6.1939372281911695e-06,8.577149287441178e-07
-6.6853707414829655,5.9007236295416676e-06,3.1960422641002445e-08,7.1360543456144166e-06,9.287888632278368e-07
-6.653306613226453,6.65453184901217e-06,5.73832884226864e-09,8.217526353239095e-06,1.0078375619219933e-06
-6.62124248496994,7.449379410363112e-06,1.3581206073256644e-09,9.447315647087872e-06,1.0956565564442592e-06
-6.589178356713427,8.27908597182516e-06,2.4984992890534974e-08,1.0832672351223207e-05,1.1931934336088003e-06
-6.557114228456913,9.136393775322893e-06,8.225792048435514e-08,1.2378657318733786e-05,1.3015827435756272e-06
-6.525050100200401,1.0013081604839453e-05,1.7799170635128398e-07,1.4087693989455593e-05,1.4221874823395315e-06
-6.492985971943888,1.0900112236980436e-05,3.159015699246422e-07,1.5959171621042665e-05,1.5566480668954006e-06
-6.460921843687374,1.1787809877804449e-05,4.983639290793837e-07,1.798912120594896e-05,1.7069399137015103e-06
-6.428857715430862,1.2666062795724414e-05,7.26225769771319e-07,2.016998401885083e-05,1.8754409474396017e-06
-6.396793587174349,1.3524545445082434e-05,9.98673093608864e-07,2.2490489453376947e-05,2.0650106438679935e-06
-6.364729458917835,1.4352953466934221e-05,1.3131665007531228e-06,2.4935655231299652e-05,2.2790825032316814e-06
-6.332665330661323,1.5141244343016868e-05,1.6654490739912412e-06,2.74869184679683e-05,2.5217721661529604e-06
-6.30060120240481,1.5879876183271348e-05,2.0496284736049036e-06,3.0122400497102595e-05,2.798003717769076e-06
-6.268537074148296,1.6560037047954027e-05,2.4583318288781547e-06,3.281730350789651e-05,3.1136570344090175e-06
-6.236472945891784,1.7173857444769934e-05,2.882928528666206e-06,3.554443046950989e-05,3.475739313312401e-06
-6.2044088176352705,1.771459918353417e-05,3.313812772459454e-06,3.827481496922183e-05,3.892584148627246e-06
-6.1723446893787575,1.8176814533530634e-05,3.7407348027021554e-06,4.097844208217602e-05,4.374081652945222e-06
-6.140280561122245,1.8556470722783638e-05,4.153167203703653e-06,4.362503717829954e-05,4.931943152955501e-06
-6.108216432865731,1.8851035981292516e-05,4.5406907505933035e-06,4.618489591825119e-05,5.580003854853452e-06
-6.076152304609218,1.9059524794063964e-05,4.893383080722626e-06,4.8629726458911566e-05,6.334566588414789e-06
-6.044088176352706,1.9182501451606198e-05,5.202193024129737e-06,5.093347382332355e-05,7.214789226872963e-06
-6.012024048096192,1.9222042553110863e-05,5.459283767675272e-06,5.307309651068512e-05,8.243117661051938e-06
-5.979959919839679,1.9181660568518164e-05,5.65832928634284e-06,5.502926753375833e-05,9.445765225128624e-06
-5.947895791583167,1.9066191986874955e-05,5.794750342247377e-06,5.6786974607409894e-05,1.085323824053905e-05
-5.915831663326653,1.888165480992666e-05,5.865879129737645e-06,5.833599906965336e-05,1.2500905847010738e-05
-5.88376753507014,1.8635081192182765e-05,5.871044817255581e-06,5.9671258134151205e-05,1.442961053223139e-05
-5.851703406813628,1.8334331819565488e-05,5.811575970232578e-06,6.079300137204322e-05,1.6686313768015895e-05
-5.819639278557114,1.7987899121740408e-05,5.690719810652917e-06,6.170685923748491e-05,1.932476894297262e-05
-5.787575150300601,1.7604706613800058e-05,5.513482297132259e-06,6.242374804474385e-05,2.2406211376003935e-05
-5.755511022044089,1.7193911558274426e-05,5.286396950485663e-06,6.295964292430569e-05,2.600005266641939e-05
-5.7234468937875755,1.676471770515952e-05,5.0172339687819465e-06,6.333523642028975e-05,3.0184564026241105e-05
-5.6913827655310625,1.632620419682491e-05,4.714664270769002e-06,6.357550579351422e-05,3.5047530652437185e-05
-5.659318637274549,1.5887175731706865e-05,4.387895549104179e-06,6.3709216573945e-05,4.0686856661858844e-05
-5.627254509018036,1.5456037974679993e-05,4.046299036351444e-06,6.376839262215167e-05,4.721109779672052e-05
-5.595190380761523,1.5040700855329618e-05,3.6990463874775393e-06,6.37877844010886e-05,5.4739897013760395e-05
-5.563126252505009,1.4648511039553273e-05,3.354775816124598e-06,6.380436676281244e-05,6.34042963950646e-05
-5.531062124248497,1.4286213440799062e-05,3.021305352800863e-06,6.385689535819905e-05,7.334689757878404e-05
-5.498997995991984,1.3959940296823585e-05,2.7054088814499556e-06,6.39855471718735e-05,8.472184226693341e-05
-5.46693386773547,1.3675225094357269e-05,2.4126675129091235e-06,6.423166524679265e-05,9.769458436480427e-05
-5.434869739478958,1.343703758445875e-05,2.147405036735829e-06,6.463762124994551e-05,0.00011244142607106633
-5.402805611222445,1.3249835307413141e-05,1.912711785444458e-06,6.524680206540269e-05,0.0001291487918028623
-5.370741482965931,1.3117626500769355e-05,1.7105565016620063e-06,6.610371859274878e-05,0.0001480122162806439
-5.33867735470942,1.304403902254351e-05,1.5419809040057408e-06,6.725422683037553e-05,0.00016923502643820989
-5.306613226452906,1.3032389994724986e-05,1.407366879808879e-06,6.874584356791846e-05,0.0001930267010784236
-5.274549098196394,1.3085751252636012e-05,1.3067618345756251e-06,7.062813208476602e-05,0.00021960089735051304
-5.242484969939881,1.320700635668845e-05,1.2402439170906856e-06,7.295312750226351e-05,0.0002491731391335574
-5.210420841683367,1.3398895856246033e-05,1.2083058616123272e-06,7.577576738237375e-05,0.0002819581692190823
-5.1783567134268536,1.3664048628029343e-05,1.212234203344906e-06,7.915429102156646e-05,0.00031816697467836584
-5.146292585170341,1.400499839411243e-05,1.2544597833780672e-06,8.315057090033815e-05,0.00035800350286414607
-5.114228456913827,1.44241858882667e-05,1.3388558393522844e-06,8.783034207089792e-05,0.0004016610939818276
-5.082164328657314,1.4923948503585123e-05,1.4709616250368563e-06,9.326329991937432e-05,0.0004493186648869415
-5.050100200400802,1.5506500554124158e-05,1.6581123507832655e-06,9.952304342859865e-05,0.000501136687533065
-5.018036072144289,1.6173908441055073e-05,1.909460233513492e-06,0.00010668684991750655,0.0005572530140983325
-4.985971943887775,1.692806597232728e-05,2.2358763873345078e-06,0.00011483527742253558,0.0006177786090200182
-4.953907815631263,1.777067578721046e-05,2.6497290034145503e-06,0.0001240516023833545,0.0006827932557444855
-4.921843687374749,1.8703243253796995e-05,3.1645394809744055e-06,0.00013442111234818175,0.0007523413127127173
-4.889779559118237,1.9727089314711154e-05,3.794524592758712e-06,0.00014603028542828058,0.0008264275987240098
-4.857715430861724,2.084338855479134e-05,4.554039096647339e-06,0.00015896589977404562,0.0009050134921224194
-4.825651302605211,2.205323828797736e-05,5.456939108783823e-06,0.0001733141266542399,0.0009880133310622382
-4.793587174348698,2.335776373424731e-05,6.515891726847678e-06,0.00018915966931614837,0.0010752912032143914
-4.761523046092185,2.475826346042833e-05,7.741660554559692e-06,0.00020658501627453412,0.0011666582125689684
-4.729458917835672,2.6256398262948347e-05,9.142399672711618e-06,0.00022566988152794576,0.0012618703083449568
-4.697394789579159,2.7854425667871927e-05,1.0722990048229192e-05,0.00024649090536919284,0.001360626756373061
