El,r,Fidelidad
10000000.0,0.01,(0.9926015626779775-1.032510314568532e-05j)
10000000.0,0.02661016949152542,(0.9484851678515216+1.256969933391205e-06j)
10000000.0,0.043220338983050846,(0.8687809831264431-7.485615734926355e-06j)
10000000.0,0.059830508474576265,(0.7610688825515229-1.2324438727689837e-06j)
10000000.0,0.07644067796610168,(0.6350297509171672+5.105981175912473e-06j)
10000000.0,0.09305084745762711,(0.5022020407812714+4.6698628747678275e-06j)
10000000.0,0.10966101694915252,(0.4217531924671881+3.089023080133404e-06j)
10000000.0,0.12627118644067795,(0.360431930257382+1.1037984693503934e-06j)
10000000.0,0.14288135593220339,(0.3022869508293836+5.949437283334543e-06j)
10000000.0,0.1594915254237288,(0.25222434178436814+3.2045252728864066e-06j)
10000000.0,0.17610169491525424,(0.2116452426054508+5.891709423510571e-06j)
10000000.0,0.19271186440677965,(0.17947726949431472+3.8759215558110386e-07j)
10000000.0,0.20932203389830506,(0.1540262375518021-1.1311775628424945e-05j)
10000000.0,0.2259322033898305,(0.13365770323952053-1.0390356339644009e-05j)
10000000.0,0.2425423728813559,(0.11706561390871109-4.023735066766943e-06j)
10000000.0,0.2591525423728813,(0.10334373814033586-4.4083178591407924e-06j)
10000000.0,0.27576271186440676,(0.09179988690699593+1.3689479538256538e-06j)
10000000.0,0.2923728813559322,(0.08195596869165739-4.151177576115739e-06j)
10000000.0,0.3089830508474576,(0.07346518713569848-3.205170517718566e-06j)
10000000.0,0.325593220338983,(0.06606166569061737-2.928710544601695e-06j)
10000000.0,0.34220338983050846,(0.05957748566008399-2.8898482006026586e-06j)
10000000.0,0.35881355932203385,(0.05378749377082522+2.6887979990575424e-06j)
10000000.0,0.3754237288135593,(0.04867031335114095+7.055659219143649e-06j)
10000000.0,0.3920338983050847,(0.04406672230701733+3.20782429308139e-06j)
10000000.0,0.4086440677966101,(0.03991738249083752+4.323742249068093e-06j)
10000000.0,0.42525423728813555,(0.042977832103465376+6.619844725319146e-06j)
10000000.0,0.441864406779661,(0.0485259464116528+7.177015277507075e-06j)
10000000.0,0.45847457627118643,(0.05523867058664277+7.005544848352427e-06j)
10000000.0,0.4750847457627118,(0.0632811874304113+8.161740868523897e-06j)
10000000.0,0.49169491525423725,(0.07282794650747805+1.0344913220090622e-05j)
10000000.0,0.5083050847457626,(0.084051986178383+8.93434575578472e-06j)
10000000.0,0.5249152542372881,(0.09714648368955921+1.3048849632783412e-05j)
10000000.0,0.5415254237288135,(0.11225496374319659+2.160480021439229e-05j)
10000000.0,0.5581355932203389,(0.12951286657591263+2.0846189275972225e-05j)
10000000.0,0.5747457627118644,(0.14898814495913812+3.199388667955548e-05j)
