"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,4193360908.9568,4988301126.86756,8827099236.96553,10447601189.0482,10791367835.4354,11807269497.5517,12133610156.2396
4,4611738807.63704,6143267512.97181,9321232694.04001,11441456168.1505,11611576009.2817,12479093475.1624,12724960340.7207
6,4638861753.1658,6539556722.39001,9418829019.81342,11453609279.254,11487617095.5173,11693176637.2805,12504851760.6894
8,4678149938.87677,6838972598.99923,9518612258.74514,11384444207.8053,11572460147.5548,11869489317.6759,12531377456.1153
10,4655906277.10289,7009976452.16901,9536129249.00779,11290851686.3259,11589239254.0619,11956131524.782,12522665809.7772
12,4616714357.26871,7128265519.36166,9524540026.57616,11190850792.2336,11581828868.9557,12004366525.4486,12496217899.2724
14,4619981903.18339,7260311323.67781,9554099031.85171,11150402503.826,11608967526.9013,12071782925.2715,12503411294.713
16,4591387632.85684,7350303381.05289,9545125855.5966,11084931728.518,11611761229.3198,12111830518.8738,12491170383.7527
18,4574638758.98157,7430039212.23024,9542091874.03275,11028180809.1762,11612211633.5052,12140572156.7158,12481323397.1773
20,4541468443.82885,7488024056.56523,9524354469.9932,10967437667.4335,11604992156.8473,12156014302.1108,12461240860.0802
