"capacitor_length [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []"
1,10599296105.0371,12648844974.0393,13201920186.0142,13426732647.5808,13541238274.9914,13607528432.5676
4.22222222222222,10423140172.1172,12581462192.2788,13169031965.5153,13408920667.9348,13529781610.6081,13600588575.5021
7.44444444444444,10113219994.0596,12477994247.6267,13123253815.0197,13386769977.6505,13516668093.3542,13575039159.3367
10.6666666666667,10000701787.7714,12446405787.8351,13116942170.6349,13383810953.4338,13515364004.3236,13590935253.2815
13.8888888888889,9829200562.17976,12410269456.4112,13106450783.8819,13381381735.1702,13514836367.3632,13590805668.5764
17.1111111111111,9757169690.29553,12403840951.6903,13109248758.9633,13384615125.0178,13518046387.9541,13593532521.5533
20.3333333333333,9639570350.61908,12380372400.9868,13104527160.8989,13382213954.1618,13517528491.184,13593999883.3694
23.5555555555556,9475144439.15926,12347905284.5966,13092402657.3788,13376536843.5885,13513386543.4829,13590641454.745
26.7777777777778,9420219100.38704,12335668763.5984,13090552138.4234,13376156293.2558,13513950784.4968,13591905743.9588
30,9307638445.80031,12320616418.6199,13085714583.1462,13373627369.919,13512749600.6811,13591499861.2423
