"width [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
0.5,4731668334.50558,7968061990.97498,9903140286.91409,11066430673.7632,11789773199.9782,12263065105.1672,12585759308.9197
0.888888888888889,5550387777.51277,8884074998.3091,10656995742.7512,11640191005.734,12223546829.5211,12594439485.5294,12843813974.2678
1.27777777777778,6034419432.55751,9365422445.20653,11014812914.2367,11894880762.704,12407391693.7267,12729205219.2715,12944840845.8085
1.66666666666667,6348861227.60994,9638651793.988,11196628118.9481,12009354062.4381,12476326459.8473,12771445314.8305,12966988643.6892
2.05555555555556,6566665563.73563,9812976108.77167,11301981158.857,12070541094.4616,12510949142.4536,12788015469.64,12972736518.0503
2.44444444444444,6728251552.79619,9929043739.76889,11362124958.6089,12098400379.2863,12520254614.0351,12785301795.4752,12963114960.0168
2.83333333333333,6838500250.87305,9993916001.05069,11380964429.5288,12091604988.6633,12499070140.7183,12755718658.5598,12927824201.7863
3.22222222222222,6912601241.17693,10028880244.7285,11384102881.0081,12075664999.8788,12474543021.734,12727064768.6722,12898395158.5235
3.61111111111111,6979731993.59723,10053055099.4038,11379638875.5653,12057498936.2871,12450106524.8076,12698645009.4871,12868573432.1924
4,7014864327.3845,10052014837.3836,11356119677.5457,12024614830.9415,12415275077.5019,12664312650.1835,12834651756.1855
