"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,5877262676.4218,7317149268.47833,10556146508.67,12074203654.7097,12137154649.852,12251977501.9496,12894872455.3645
4,6083357447.80921,8524726028.55824,10835247620.3469,12012426814.024,12361979748.4458,12585149108.01,12947018816.0507
6,6013343641.95293,8937028140.94262,10845788137.6901,11852522757.8087,12394716575.23,12698569037.7403,12927184124.562
8,5915320379.61041,9163823710.48747,10802056841.0245,11717851575.4231,12395274345.9574,12745127930.3899,12904461915.4655
10,5819323321.45552,9303287660.59867,10736374534.6111,11589785382.7643,12378397884.6096,12755339486.2516,12869602851.2453
12,5742137093.61948,9414795612.59948,10685280424.3876,11496538404.5414,12370109621.5905,12772717844.85,12863429515.9253
14,5662777758.09307,9501244371.02096,10630303859.7401,11410726531.7196,12372353272.1869,12789076513.9996,12859357232.6783
16,5590475341.77075,9566161372.85678,10577111127.6539,11331667485.946,12364369973.1371,12795032210.3666,12853128042.5582
18,5510882085.25972,9609494767.06836,10512782389.4087,11249129905.6985,12347470770.055,12788849620.4627,12838381601.5734
20,5437373680.50688,9642465614.3208,10456599063.3584,11177200268.1484,12330600654.7358,12785903098.2356,12832118997.1029
