"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
2,9868437938.9205,10842100873.0762,12874438877.1407,13026020939.5298,13084262197.2307,13091990062.1377,13164306862.271
4,11779073233.3825,11905539158.9825,12299046841.2448,12465319798.8279,12513549720.3736,12544922386.8631,12568555173.1936
6,11762929542.937,11893642288.4832,11918254821.5985,12039635009.8848,12159152009.6872,12176566882.3846,12187167563.2879
8,12012211089.1819,12134578101.4375,12281525952.9771,12412615200.044,12412722819.8356,12470790091.5933,12493600681.2405
10,12591548291.6269,12888744556.497,12897583230.3137,13058475376.6792,13090169289.9209,13142739967.3633,13146147581.2279
12,10137354238.4278,12542798711.9443,12919137359.5666,13002160497.6562,13062878322.9218,13179179196.4481,13180374681.2413
14,10518162353.9073,11546295313.6383,11818973471.3948,11975879303.4515,12146378715.1916,12312002266.6789,12341877316.182
16,11808948241.3887,12354150434.1364,12455451400.8277,12493364920.3215,12498462499.7588,12554723165.6345,12560919392.1138
18,11923578436.9704,12060004082.4896,12219169285.0882,12431512003.0835,12465486610.585,12506025368.0626,12517335879.8291
20,11779834417.9275,11886723199.52,12044461214.9238,12374227200.4696,12401217900.4006,12404870932.3614,12417831895.6091
