"width [um]","junction_width [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
1.6,0.2,7244160592.7742,10617481797.8287,11739397000.983,12643781679.7309,12999759161.131,13121313523.3206,13344466536.9364
1.6,0.4,6927194836.67644,10326976593.1707,11511137995.8157,12483711153.3724,12874940304.6123,13011919434.8898,13262948117.872
1.6,0.6,6701763902.07425,10113100839.7958,11335936343.7464,12357914545.4721,12773318333.7275,12921850994.6121,13194164278.7703
1.6,0.8,6548488789.2387,9954419161.94208,11205322198.3404,12258668917.2707,12692856477.6067,12850282256.3499,13139053728.7043
1.6,1,6418606015.32932,9818573863.01463,11088293249.7916,12169174377.2932,12619118207.1331,12784446385.8598,13084879451.1936
1.6,1.2,6284935296.09374,9678552250.14386,10970696027.7206,12077561951.114,12539835729.629,12712470906.9578,13024880552.1321
1.6,1.4,6199619783.07972,9586124963.77666,10887579652.523,12012858030.717,12486332347.2158,12664454302.3613,12990202910.3878
1.6,1.6,6103564943.46505,9476161324.23991,10791182282.4754,11931930848.0029,12416250936.3988,12601055417.5571,12932511118.1837
1.6,1.8,6029132934.94509,9392394839.45972,10712184253.9124,11866900833.8198,12358318816.0315,12547599575.382,12888663915.7722
1.6,2,5948535066.21623,9301709008.04525,10633907958.1106,11808378539.205,12307266134.316,12502508822.35,12854939983.5866
