"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
3,5227160788.18274,9798557286.06985,10610858563.1316,12101594457.4138,12264522199.7517,12813504764.7399,12882043835.8228
6,5746672959.19172,9395204055.75562,11011315174.8623,11878897250.5939,12448229490.2395,12694084828.1252,12971688630.7543
9,5965720605.92403,9125741175.51952,11139704188.821,11750320769.0051,12494917795.0257,12641229415.6164,12990930218.7166
12,6100818920.06561,8924158153.07142,11205638703.9015,11669804705.1795,12515379494.3657,12616090884.5402,13000087022.6128
15,6175428779.99457,8743898506.02919,11231225613.3187,11603194301.0089,12518024223.8168,12594760514.2783,12997676566.5392
18,6235656666.53454,8593394213.57366,11251551504.555,11559650128.7254,12519656044.9427,12582428889.6587,12996255067.1878
21,6281039046.00162,8466377244.1601,11262108118.3997,11524908164.4111,12521225967.9693,12574527097.9163,12996824781.2609
24,6313758973.20095,8351411093.74554,11276226577.1434,11503998068.8873,12524989789.5914,12571384642.8029,12998727447.4508
27,6325227635.95372,8232428016.56426,11258680221.1096,11461304131.0615,12504785528.6062,12546209118.6127,12978039589.0317
30,6364236101.44088,8160090439.72513,11290542518.2547,11471858208.1499,12533685994.0602,12571145940.9445,13007194456.1483
