"side_separation [um]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []","re(Mode(4)) []","re(Mode(5)) []","re(Mode(6)) []","re(Mode(7)) []"
1.5,4384121760.11891,9734053472.18007,10198630286.1166,11760616911.0311,12324313330.8621,12588292275.5965,12947153669.124
2.73684210526316,5137748957.81556,9897199182.63001,10531995964.9195,12152665766.0999,12223202237.7666,12839993655.9196,12859101614.2469
3.97368421052632,5455798722.10639,9692696083.80794,10797962755.9719,12028031344.8765,12350755632.5225,12763493903.1868,12923728570.1213
5.21052631578947,5652042059.50104,9532353300.50926,10946482098.1344,11943890993.8413,12422196857.1995,12722782508.5568,12961910897.9003
6.44736842105263,5776661816.80624,9391243552.37912,11021706710.0695,11860181293.7695,12442594765.2958,12673812962.0873,12959834631.6283
7.68421052631579,5879651660.5258,9284505367.66016,11089577408.6373,11811060230.3497,12472120630.0854,12657120992.6325,12978382350.249
8.92105263157895,5959510520.0061,9182775980.82056,11134185468.3873,11764680810.705,12489736340.6702,12641482654.9907,12986948465.5401
10.1578947368421,6017103118.86191,9088384785.18894,11162037536.4752,11720784962.9813,12496663185.361,12624866484.3939,12986833512.9847
11.3947368421053,6070212019.21844,9004246072.97123,11186352185.1253,11686718647.5133,12506026654.7522,12615883673.9234,12992747197.8349
12.6315789473684,6126109494.06362,8936372044.67239,11216616492.2781,11666676993.2166,12520080478.2221,12616099591.5695,13001548412.3699
13.8684210526316,6138292634.16906,8835182484.17447,11208147685.4123,11618437584.2417,12499396475.7399,12585641640.2687,12978123863.8212
15.1052631578947,6168167437.34042,7901749185.48732,8765816972.61845,11219393427.9848,11595154309.0673,12501784987.4414,12578916718.7084
16.3421052631579,6199099193.57461,8704499394.72003,11235225134.1154,11581593513.6696,12510404098.1574,12581374158.8124,12988313705.6695
17.5789473684211,6221298167.52338,8643769805.55543,11485218819.6375,12440962207.3777,12573486818.7069,12918437758.9865,13009942642.6614
18.8157894736842,6252549018.88744,8595368681.85564,11308983375.0443,12234188366.5515,12276725201.9362,12580896745.2779,12995044802.6284
20.0526315789474,6264852730.1467,8534638122.1771,11257431024.8898,11535898908.9415,12520388116.5759,12576356993.9109,12995002703.6786
21.2894736842105,6284017016.12708,8484723305.14104,11268079900.1146,11529228281.2258,12526702635.7971,12579274563.9688,13001167037.6963
22.5263157894737,6297995137.47925,8435135658.54007,11266454763.8404,11513178571.3807,12522524137.3319,12572243670.2146,12996310000.1473
23.7631578947368,6306035253.35604,8381634727.34345,11266884073.85,11499591031.4249,12519560925.9084,12566611384.2599,12993739366.2594
25,6315177888.94186,8331942037.52469,11267009282.5923,11488216602.552,12519000888.9548,12563696185.4449,12992100134.1942
